START	rep1_2zuq_01	on 2017 June 10 at 01:42:39
TIME	parts_495_to_495_interaction_energies	273.58
TIME	parts_499_to_499_interaction_energies	272.11
TIME	parts_498_to_498_interaction_energies	270.66
TIME	parts_500_to_500_interaction_energies	275.11
TIME	parts_496_to_496_interaction_energies	274.8
TIME	parts_501_to_501_interaction_energies	256.12
TIME	parts_503_to_503_interaction_energies	264.68
TIME	parts_505_to_505_interaction_energies	264.98
TIME	parts_506_to_506_interaction_energies	264.26
TIME	parts_507_to_507_interaction_energies	264.57
TIME	parts_502_to_502_interaction_energies	267.87
TIME	parts_508_to_508_interaction_energies	265.15
TIME	parts_515_to_515_interaction_energies	255.1
TIME	parts_509_to_509_interaction_energies	266.78
TIME	parts_513_to_513_interaction_energies	259.72
TIME	parts_514_to_514_interaction_energies	256.82
TIME	parts_517_to_517_interaction_energies	265.56
TIME	parts_516_to_516_interaction_energies	257.71
TIME	parts_518_to_518_interaction_energies	262.89
TIME	parts_504_to_504_interaction_energies	271.9
TIME	parts_512_to_512_interaction_energies	264.81
TIME	parts_511_to_511_interaction_energies	264.32
TIME	parts_519_to_519_interaction_energies	264.59
TIME	parts_510_to_510_interaction_energies	265.21
TIME	parts_520_to_520_interaction_energies	262.49
TIME	parts_524_to_524_interaction_energies	264.11
TIME	parts_521_to_521_interaction_energies	266.39
TIME	parts_523_to_523_interaction_energies	269.09
TIME	parts_522_to_522_interaction_energies	268.89
TIME	parts_527_to_527_interaction_energies	268.12
TIME	parts_525_to_525_interaction_energies	271.22
TIME	parts_530_to_530_interaction_energies	262.97
TIME	parts_529_to_529_interaction_energies	264.81
TIME	parts_531_to_531_interaction_energies	265.04
TIME	parts_540_to_540_interaction_energies	252.15
TIME	parts_528_to_528_interaction_energies	261.51
TIME	parts_526_to_526_interaction_energies	275.96
TIME	parts_539_to_539_interaction_energies	265.97
TIME	parts_533_to_533_interaction_energies	264.59
TIME	parts_542_to_542_interaction_energies	251.36
TIME	parts_543_to_543_interaction_energies	251.65
TIME	parts_537_to_537_interaction_energies	265.76
TIME	parts_538_to_538_interaction_energies	265.88
TIME	parts_536_to_536_interaction_energies	266.27
TIME	parts_534_to_534_interaction_energies	266.42
TIME	parts_535_to_535_interaction_energies	268.55
TIME	parts_532_to_532_interaction_energies	263.39
TIME	parts_541_to_541_interaction_energies	270.85
TIME	parts_546_to_546_interaction_energies	253.05
TIME	parts_545_to_545_interaction_energies	271.71
TIME	parts_548_to_548_interaction_energies	255.66
TIME	parts_544_to_544_interaction_energies	272.25
TIME	parts_574_to_574_interaction_energies	176.33
TIME	parts_575_to_575_interaction_energies	178.58
TIME	parts_576_to_576_interaction_energies	180.2
TIME	parts_577_to_577_interaction_energies	180.45
TIME	parts_549_to_549_interaction_energies	257.35
TIME	parts_550_to_550_interaction_energies	266.03
TIME	parts_547_to_547_interaction_energies	266.52
TIME	parts_551_to_551_interaction_energies	257.28
TIME	parts_552_to_552_interaction_energies	258.11
TIME	parts_553_to_553_interaction_energies	261.56
TIME	parts_557_to_557_interaction_energies	260.42
TIME	parts_554_to_554_interaction_energies	262.47
TIME	parts_578_to_578_interaction_energies	181.62
TIME	parts_555_to_555_interaction_energies	263.52
TIME	parts_556_to_556_interaction_energies	264.39
TIME	parts_563_to_563_interaction_energies	250.98
TIME	parts_559_to_559_interaction_energies	260.65
TIME	parts_590_to_590_interaction_energies	180.9
TIME	parts_573_to_573_interaction_energies	254.83
TIME	parts_560_to_560_interaction_energies	260.6
TIME	parts_561_to_561_interaction_energies	261.58
TIME	parts_562_to_562_interaction_energies	266.43
TIME	parts_587_to_587_interaction_energies	181.72
TIME	parts_586_to_586_interaction_energies	181.93
TIME	parts_580_to_580_interaction_energies	186.41
TIME	parts_585_to_585_interaction_energies	183.2
TIME	parts_581_to_581_interaction_energies	186.27
