START	bench_5ire	on 2017 May 26 at 17:25:45
TIME	interaction_energies_for_MAPs_part_HV_59	381.5
TIME	interaction_energies_for_MAPs_part_HV_77	382.91
TIME	interaction_energies_for_MAPs_part_HV_86	392.09
TIME	interaction_energies_for_MAPs_part_HV_21	384.48
TIME	interaction_energies_for_MAPs_part_KCDR3_76	337.47
TIME	interaction_energies_for_MAPs_part_HV_55	381.95
TIME	interaction_energies_for_MAPs_part_HV_56	383.29
TIME	interaction_energies_for_MAPs_part_HV_54	383.39
TIME	interaction_energies_for_MAPs_part_KCDR3_3	328.38
TIME	interaction_energies_for_MAPs_part_KCDR3_4	334.16
TIME	interaction_energies_for_MAPs_part_HV_139	381.18
TIME	interaction_energies_for_MAPs_part_KCDR3_40	333.4
TIME	interaction_energies_for_MAPs_part_HV_138	390.42
TIME	interaction_energies_for_MAPs_part_HV_6	381.01
TIME	interaction_energies_for_MAPs_part_HV_3	393.34
TIME	interaction_energies_for_MAPs_part_HV_60	378.53
TIME	interaction_energies_for_MAPs_part_HV_34	392.94
TIME	interaction_energies_for_MAPs_part_KCDR3_67	337.86
TIME	interaction_energies_for_MAPs_part_HV_28	383.84
TIME	interaction_energies_for_MAPs_part_HV_27	390.67
TIME	interaction_energies_for_MAPs_part_HV_114	382.29
TIME	interaction_energies_for_MAPs_part_HV_113	383.3
TIME	interaction_energies_for_MAPs_part_HV_105	392.21
TIME	interaction_energies_for_MAPs_part_HV_98	383.68
TIME	interaction_energies_for_MAPs_part_HV_58	389.09
TIME	interaction_energies_for_MAPs_part_HV_20	385.97
TIME	interaction_energies_for_MAPs_part_KCDR3_73	337.63
TIME	interaction_energies_for_MAPs_part_HV_53	387.28
TIME	interaction_energies_for_MAPs_part_HV_137	379.95
TIME	interaction_energies_for_MAPs_part_KCDR3_49	330.19
TIME	interaction_energies_for_MAPs_part_HV_135	387.89
TIME	interaction_energies_for_MAPs_part_HV_134	386.84
TIME	interaction_energies_for_MAPs_part_HV_68	390.45
TIME	interaction_energies_for_MAPs_part_HV_69	380.13
TIME	interaction_energies_for_MAPs_part_HV_45	383.06
TIME	interaction_energies_for_MAPs_part_HV_46	380.04
TIME	interaction_energies_for_MAPs_part_HV_48	382.07
TIME	interaction_energies_for_MAPs_part_HV_47	382.01
TIME	interaction_energies_for_MAPs_part_HV_49	389.95
TIME	interaction_energies_for_MAPs_part_HV_32	380.77
TIME	interaction_energies_for_MAPs_part_HV_30	385.93
TIME	interaction_energies_for_MAPs_part_HV_31	384.15
TIME	interaction_energies_for_MAPs_part_HV_33	388.01
TIME	interaction_energies_for_MAPs_part_KCDR3_63	337.66
TIME	interaction_energies_for_MAPs_part_KCDR3_60	350.02
TIME	interaction_energies_for_MAPs_part_HV_26	384.9
TIME	interaction_energies_for_MAPs_part_HV_110	390.57
TIME	interaction_energies_for_MAPs_part_HV_22	382.59
TIME	interaction_energies_for_MAPs_part_HV_103	381.82
TIME	interaction_energies_for_MAPs_part_HV_97	392.74
TIME	interaction_energies_for_MAPs_part_HV_99	392.41
TIME	interaction_energies_for_MAPs_part_HV_92	385.46
TIME	interaction_energies_for_MAPs_part_HV_91	394.64
TIME	interaction_energies_for_MAPs_part_HV_90	387.46
TIME	interaction_energies_for_MAPs_part_KCDR3_53	336.44
TIME	interaction_energies_for_MAPs_part_KCDR3_44	326.95
TIME	interaction_energies_for_MAPs_part_HV_1	390.14
TIME	interaction_energies_for_MAPs_part_HV_141	379.58
TIME	interaction_energies_for_MAPs_part_HJ_1	329.65
TIME	interaction_energies_for_MAPs_part_HCDR3_212	334.23
TIME	interaction_energies_for_MAPs_part_HCDR3_215	333.59
TIME	interaction_energies_for_MAPs_part_HV_126	395.24
TIME	interaction_energies_for_MAPs_part_HV_39	382.65
TIME	interaction_energies_for_MAPs_part_HV_38	390.58
TIME	interaction_energies_for_MAPs_part_KCDR3_56	329.37
TIME	interaction_energies_for_MAPs_part_HV_25	392.3
TIME	interaction_energies_for_MAPs_part_HV_24	395.32
TIME	interaction_energies_for_MAPs_part_HV_115	384.3
TIME	interaction_energies_for_MAPs_part_HV_116	380.11
TIME	interaction_energies_for_MAPs_part_HV_117	380.79
TIME	interaction_energies_for_MAPs_part_HV_118	381.0
TIME	interaction_energies_for_MAPs_part_HV_119	391.57
TIME	interaction_energies_for_MAPs_part_HV_109	375.93
TIME	interaction_energies_for_MAPs_part_HV_108	382.0
TIME	interaction_energies_for_MAPs_part_HV_112	387.14
TIME	interaction_energies_for_MAPs_part_HV_102	390.52
TIME	interaction_energies_for_MAPs_part_HV_94	382.73
TIME	interaction_energies_for_MAPs_part_HV_95	388.13
TIME	interaction_energies_for_MAPs_part_HV_19	391.87
TIME	interaction_energies_for_MAPs_part_HV_17	395.38
TIME	interaction_energies_for_MAPs_part_HV_18	380.2
TIME	interaction_energies_for_MAPs_part_HV_133	390.35
TIME	interaction_energies_for_MAPs_part_HV_13	379.19
TIME	interaction_energies_for_MAPs_part_HJ_4	329.68
TIME	interaction_energies_for_MAPs_part_HJ_5	331.0
TIME	interaction_energies_for_MAPs_part_HV_140	390.93
TIME	interaction_energies_for_MAPs_part_HV_51	381.71
TIME	interaction_energies_for_MAPs_part_HCDR3_203	329.1
TIME	interaction_energies_for_MAPs_part_HCDR3_1	328.46
TIME	interaction_energies_for_MAPs_part_HCDR3_204	329.97
TIME	interaction_energies_for_MAPs_part_HV_12	380.98
TIME	interaction_energies_for_MAPs_part_HV_129	396.76
TIME	interaction_energies_for_MAPs_part_HV_37	397.24
TIME	interaction_energies_for_MAPs_part_KCDR3_55	339.48
TIME	interaction_energies_for_MAPs_part_HCDR3_18	327.19
TIME	interaction_energies_for_MAPs_part_HV_123	393.19
TIME	interaction_energies_for_MAPs_part_HV_107	379.19
TIME	interaction_energies_for_MAPs_part_HCDR3_74	332.07
TIME	interaction_energies_for_MAPs_part_HCDR3_75	336.87
TIME	interaction_energies_for_MAPs_part_HCDR3_174	334.47
TIME	interaction_energies_for_MAPs_part_HCDR3_171	339.16
TIME	interaction_energies_for_MAPs_part_HCDR3_167	330.78
TIME	interaction_energies_for_MAPs_part_HCDR3_168	331.34
TIME	interaction_energies_for_MAPs_part_HCDR3_169	340.1
TIME	interaction_energies_for_MAPs_part_HV_101	385.62
TIME	interaction_energies_for_MAPs_part_HV_89	382.74
TIME	interaction_energies_for_MAPs_part_HCDR3_91	342.62
TIME	interaction_energies_for_MAPs_part_HV_15	378.63
TIME	interaction_energies_for_MAPs_part_HV_132	380.84
TIME	interaction_energies_for_MAPs_part_HV_50	381.96
TIME	interaction_energies_for_MAPs_part_HCDR3_20	327.87
TIME	interaction_energies_for_MAPs_part_HCDR3_209	332.33
TIME	interaction_energies_for_MAPs_part_HCDR3_208	337.83
TIME	interaction_energies_for_MAPs_part_HCDR3_341	334.55
TIME	interaction_energies_for_MAPs_part_HCDR3_13	336.3
TIME	interaction_energies_for_MAPs_part_HV_2	381.84
TIME	interaction_energies_for_MAPs_part_HV_128	383.0
TIME	interaction_energies_for_MAPs_part_HCDR3_132	328.97
TIME	interaction_energies_for_MAPs_part_HCDR3_133	331.95
TIME	interaction_energies_for_MAPs_part_HCDR3_19	353.23
TIME	interaction_energies_for_MAPs_part_HV_36	396.37
TIME	interaction_energies_for_MAPs_part_HCDR3_194	330.69
TIME	interaction_energies_for_MAPs_part_HV_121	379.66
TIME	interaction_energies_for_MAPs_part_HV_122	380.71
TIME	interaction_energies_for_MAPs_part_KCDR3_54	340.48
TIME	interaction_energies_for_MAPs_part_HCDR3_184	340.68
TIME	interaction_energies_for_MAPs_part_HCDR3_187	339.75
TIME	interaction_energies_for_MAPs_part_HCDR3_87	329.45
TIME	interaction_energies_for_MAPs_part_HCDR3_96	336.57
TIME	interaction_energies_for_MAPs_part_HCDR3_160	337.16
TIME	interaction_energies_for_MAPs_part_HCDR3_9	328.5
TIME	interaction_energies_for_MAPs_part_HCDR3_333	336.89
TIME	interaction_energies_for_MAPs_part_HV_100	393.89
TIME	interaction_energies_for_MAPs_part_HCDR3_331	341.55
TIME	interaction_energies_for_MAPs_part_HV_14	380.82
TIME	interaction_energies_for_MAPs_part_HV_131	384.59
TIME	interaction_energies_for_MAPs_part_HV_130	390.16
TIME	interaction_energies_for_MAPs_part_HV_4	382.28
TIME	interaction_energies_for_MAPs_part_HV_43	391.79
TIME	interaction_energies_for_MAPs_part_HJ_2	331.07
TIME	interaction_energies_for_MAPs_part_HV_127	383.95
TIME	interaction_energies_for_MAPs_part_HCDR3_193	333.21
TIME	interaction_energies_for_MAPs_part_HCDR3_145	331.63
TIME	interaction_energies_for_MAPs_part_HCDR3_192	340.81
TIME	interaction_energies_for_MAPs_part_HV_124	381.94
TIME	interaction_energies_for_MAPs_part_HCDR3_337	330.82
TIME	interaction_energies_for_MAPs_part_HCDR3_336	339.17
TIME	interaction_energies_for_MAPs_part_HCDR3_339	332.32
TIME	interaction_energies_for_MAPs_part_HCDR3_338	334.68
TIME	interaction_energies_for_MAPs_part_HCDR3_142	339.19
TIME	interaction_energies_for_MAPs_part_HCDR3_344	334.02
TIME	interaction_energies_for_MAPs_part_HCDR3_342	334.19
TIME	interaction_energies_for_MAPs_part_HCDR3_138	341.44
TIME	interaction_energies_for_MAPs_part_HCDR3_135	348.92
TIME	interaction_energies_for_MAPs_part_HV_11	381.14
TIME	interaction_energies_for_MAPs_part_HV_120	380.3
TIME	interaction_energies_for_MAPs_part_HV_111	384.8
TIME	interaction_energies_for_MAPs_part_HV_10	393.14
TIME	interaction_energies_for_MAPs_part_HV_106	391.62
TIME	interaction_energies_for_MAPs_part_HCDR3_189	333.16
TIME	interaction_energies_for_MAPs_part_HV_9	382.09
TIME	interaction_energies_for_MAPs_part_HV_44	383.37
TIME	interaction_energies_for_MAPs_part_HCDR3_188	340.1
TIME	interaction_energies_for_MAPs_part_HV_93	390.93
TIME	interaction_energies_for_MAPs_part_HV_96	392.09
TIME	interaction_energies_for_MAPs_part_HJ_3	329.74
TIME	interaction_energies_for_MAPs_part_HV_8	383.22
TIME	interaction_energies_for_MAPs_part_HCDR3_183	335.91
TIME	interaction_energies_for_MAPs_part_HV_125	394.38
TIME	interaction_energies_for_MAPs_part_HCDR3_199	331.39
TIME	interaction_energies_for_MAPs_part_HCDR3_181	340.46
TIME	interaction_energies_for_MAPs_part_HCDR3_69	335.3
TIME	interaction_energies_for_MAPs_part_HCDR3_72	333.05
TIME	interaction_energies_for_MAPs_part_HCDR3_62	329.4
TIME	interaction_energies_for_MAPs_part_HCDR3_63	330.56
TIME	interaction_energies_for_MAPs_part_HCDR3_175	334.5
TIME	interaction_energies_for_MAPs_part_HCDR3_81	327.28
TIME	interaction_energies_for_MAPs_part_HCDR3_7	326.47
TIME	interaction_energies_for_MAPs_part_HCDR3_83	331.49
TIME	interaction_energies_for_MAPs_part_HCDR3_84	330.85
