START	bench_2ck0	on 2017 May 14 at 21:29:00
TIME	interaction_energies_for_MAPs_part_HV_66	190.72
TIME	interaction_energies_for_MAPs_part_HV_4	182.15
TIME	interaction_energies_for_MAPs_part_HV_62	188.82
TIME	interaction_energies_for_MAPs_part_HV_61	190.33
TIME	interaction_energies_for_MAPs_part_HV_64	192.28
TIME	interaction_energies_for_MAPs_part_HV_73	194.12
TIME	interaction_energies_for_MAPs_part_HV_48	190.71
TIME	interaction_energies_for_MAPs_part_HV_46	182.19
TIME	interaction_energies_for_MAPs_part_HV_47	186.03
TIME	interaction_energies_for_MAPs_part_HV_41	177.94
TIME	interaction_energies_for_MAPs_part_HV_45	184.34
TIME	interaction_energies_for_MAPs_part_HV_42	180.85
TIME	interaction_energies_for_MAPs_part_HV_6	199.7
TIME	interaction_energies_for_MAPs_part_HV_3	188.5
TIME	interaction_energies_for_MAPs_part_HV_40	185.79
TIME	interaction_energies_for_MAPs_part_HV_38	184.79
TIME	interaction_energies_for_MAPs_part_HV_37	185.89
TIME	interaction_energies_for_MAPs_part_HV_32	182.16
TIME	interaction_energies_for_MAPs_part_HV_2	176.14
TIME	interaction_energies_for_MAPs_part_HV_49	192.92
TIME	interaction_energies_for_MAPs_part_HV_35	184.63
TIME	interaction_energies_for_MAPs_part_HV_26	195.23
TIME	interaction_energies_for_MAPs_part_HV_44	186.15
TIME	interaction_energies_for_MAPs_part_HV_43	186.43
TIME	interaction_energies_for_MAPs_part_HV_22	190.55
TIME	interaction_energies_for_MAPs_part_HV_23	190.35
TIME	interaction_energies_for_MAPs_part_HV_24	193.21
TIME	interaction_energies_for_MAPs_part_HV_20	186.5
TIME	interaction_energies_for_MAPs_part_HV_18	182.24
TIME	interaction_energies_for_MAPs_part_HV_21	190.41
TIME	interaction_energies_for_MAPs_part_HV_19	184.56
TIME	interaction_energies_for_MAPs_part_HV_17	182.04
TIME	interaction_energies_for_MAPs_part_HV_16	183.24
TIME	interaction_energies_for_MAPs_part_HV_39	200.49
TIME	interaction_energies_for_MAPs_part_HV_36	200.47
TIME	interaction_energies_for_MAPs_part_HV_15	173.03
TIME	interaction_energies_for_MAPs_part_HV_14	177.4
TIME	interaction_energies_for_MAPs_part_HV_34	191.11
TIME	interaction_energies_for_MAPs_part_HV_33	191.25
TIME	interaction_energies_for_MAPs_part_HV_28	198.37
TIME	interaction_energies_for_MAPs_part_HV_29	198.9
TIME	interaction_energies_for_MAPs_part_HV_31	197.69
TIME	interaction_energies_for_MAPs_part_HV_30	198.69
TIME	interaction_energies_for_MAPs_part_HV_13	188.0
TIME	interaction_energies_for_MAPs_part_HV_27	200.34
TIME	interaction_energies_for_MAPs_part_HV_137	179.29
TIME	interaction_energies_for_MAPs_part_HV_135	188.86
TIME	interaction_energies_for_MAPs_part_HV_133	184.4
TIME	interaction_energies_for_MAPs_part_HV_134	184.38
TIME	interaction_energies_for_MAPs_part_HV_131	187.65
TIME	interaction_energies_for_MAPs_part_HV_132	188.49
TIME	interaction_energies_for_MAPs_part_HV_130	190.41
TIME	interaction_energies_for_MAPs_part_HV_25	206.99
TIME	interaction_energies_for_MAPs_part_HV_1	196.45
TIME	interaction_energies_for_MAPs_part_HV_141	190.54
TIME	interaction_energies_for_MAPs_part_HV_140	189.32
TIME	interaction_energies_for_MAPs_part_HV_139	191.41
TIME	interaction_energies_for_MAPs_part_HV_138	200.66
TIME	interaction_energies_for_MAPs_part_KCDR3_70	1498.68
TIME	interaction_energies_for_MAPs_part_HCDR3_1	68.88
TIME	interaction_energies_for_MAPs_part_HJ_3	75.01
TIME	interaction_energies_for_MAPs_part_HJ_1	75.54
TIME	interaction_energies_for_MAPs_part_HJ_5	75.59
TIME	interaction_energies_for_MAPs_part_HJ_4	75.11
TIME	interaction_energies_for_MAPs_part_HJ_2	76.17
TIME	interaction_energies_for_MAPs_part_HCDR3_19	72.79
TIME	interaction_energies_for_MAPs_part_HCDR3_180	85.4
TIME	interaction_energies_for_MAPs_part_HCDR3_199	76.72
TIME	interaction_energies_for_MAPs_part_HCDR3_69	76.25
TIME	interaction_energies_for_MAPs_part_HCDR3_63	77.29
TIME	interaction_energies_for_MAPs_part_HCDR3_203	78.22
TIME	interaction_energies_for_MAPs_part_HCDR3_194	78.65
TIME	interaction_energies_for_MAPs_part_HCDR3_192	81.66
TIME	interaction_energies_for_MAPs_part_HCDR3_193	83.13
TIME	interaction_energies_for_MAPs_part_HCDR3_72	78.82
TIME	interaction_energies_for_MAPs_part_HCDR3_18	77.71
TIME	interaction_energies_for_MAPs_part_HCDR3_188	83.93
TIME	interaction_energies_for_MAPs_part_HCDR3_189	84.54
TIME	interaction_energies_for_MAPs_part_HCDR3_20	73.23
TIME	interaction_energies_for_MAPs_part_HCDR3_204	77.69
TIME	interaction_energies_for_MAPs_part_HCDR3_209	77.98
TIME	interaction_energies_for_MAPs_part_HCDR3_208	79.51
TIME	interaction_energies_for_MAPs_part_HCDR3_182	76.74
TIME	interaction_energies_for_MAPs_part_HCDR3_184	78.5
TIME	interaction_energies_for_MAPs_part_HCDR3_187	78.67
TIME	interaction_energies_for_MAPs_part_HCDR3_181	81.08
TIME	interaction_energies_for_MAPs_part_HCDR3_183	81.87
TIME	interaction_energies_for_MAPs_part_HCDR3_212	78.49
TIME	interaction_energies_for_MAPs_part_HCDR3_215	82.42
TIME	interaction_energies_for_MAPs_part_HCDR3_62	77.69
TIME	interaction_energies_for_MAPs_part_HV_129	181.01
TIME	interaction_energies_for_MAPs_part_HV_118	183.11
TIME	interaction_energies_for_MAPs_part_HV_119	183.29
TIME	interaction_energies_for_MAPs_part_HV_12	182.71
TIME	interaction_energies_for_MAPs_part_HV_128	184.7
TIME	interaction_energies_for_MAPs_part_HV_103	177.18
TIME	interaction_energies_for_MAPs_part_HV_127	186.38
TIME	interaction_energies_for_MAPs_part_HV_121	188.78
TIME	interaction_energies_for_MAPs_part_HV_109	181.48
TIME	interaction_energies_for_MAPs_part_HV_105	178.26
TIME	interaction_energies_for_MAPs_part_HV_106	179.37
TIME	interaction_energies_for_MAPs_part_HV_107	182.68
TIME	interaction_energies_for_MAPs_part_HV_108	182.98
TIME	interaction_energies_for_MAPs_part_HV_10	182.66
TIME	interaction_energies_for_MAPs_part_HV_125	188.14
TIME	interaction_energies_for_MAPs_part_HV_124	189.0
TIME	interaction_energies_for_MAPs_part_HV_94	183.11
TIME	interaction_energies_for_MAPs_part_HV_95	181.78
TIME	interaction_energies_for_MAPs_part_HCDR3_147	79.76
