START	rep1_3ghb_01	on 2017 June 09 at 22:16:54
TIME	parts_421_to_421_interaction_energies	87.97
TIME	parts_422_to_422_interaction_energies	89.2
TIME	parts_424_to_424_interaction_energies	86.8
TIME	parts_423_to_423_interaction_energies	85.68
TIME	parts_425_to_425_interaction_energies	96.77
TIME	parts_426_to_426_interaction_energies	86.52
TIME	parts_415_to_415_interaction_energies	88.56
TIME	parts_427_to_427_interaction_energies	88.49
TIME	parts_428_to_428_interaction_energies	89.7
TIME	parts_429_to_429_interaction_energies	85.97
TIME	parts_430_to_430_interaction_energies	85.92
TIME	parts_432_to_432_interaction_energies	84.8
TIME	parts_433_to_433_interaction_energies	85.34
TIME	parts_431_to_431_interaction_energies	85.97
TIME	parts_435_to_435_interaction_energies	204.35
TIME	parts_440_to_440_interaction_energies	201.6
TIME	parts_434_to_434_interaction_energies	203.29
TIME	parts_439_to_439_interaction_energies	202.79
TIME	parts_441_to_441_interaction_energies	191.24
TIME	parts_437_to_437_interaction_energies	209.34
TIME	parts_436_to_436_interaction_energies	210.27
TIME	parts_438_to_438_interaction_energies	211.05
TIME	parts_444_to_444_interaction_energies	204.46
TIME	parts_442_to_442_interaction_energies	204.9
TIME	parts_445_to_445_interaction_energies	204.01
TIME	parts_446_to_446_interaction_energies	200.19
TIME	parts_443_to_443_interaction_energies	209.43
TIME	parts_448_to_448_interaction_energies	206.16
TIME	parts_450_to_450_interaction_energies	208.65
TIME	parts_449_to_449_interaction_energies	208.93
TIME	parts_447_to_447_interaction_energies	211.77
TIME	parts_451_to_451_interaction_energies	210.61
TIME	parts_452_to_452_interaction_energies	202.33
TIME	parts_453_to_453_interaction_energies	201.91
TIME	parts_454_to_454_interaction_energies	202.96
TIME	parts_455_to_455_interaction_energies	205.03
TIME	parts_457_to_457_interaction_energies	203.68
TIME	parts_456_to_456_interaction_energies	207.07
TIME	parts_458_to_458_interaction_energies	209.12
TIME	parts_459_to_459_interaction_energies	208.84
TIME	parts_460_to_460_interaction_energies	204.04
TIME	parts_461_to_461_interaction_energies	205.41
TIME	parts_462_to_462_interaction_energies	208.02
TIME	parts_463_to_463_interaction_energies	205.8
TIME	parts_464_to_464_interaction_energies	209.89
TIME	parts_465_to_465_interaction_energies	206.93
TIME	parts_466_to_466_interaction_energies	207.91
TIME	parts_467_to_467_interaction_energies	209.65
TIME	parts_468_to_468_interaction_energies	211.69
TIME	parts_469_to_469_interaction_energies	207.24
TIME	parts_470_to_470_interaction_energies	204.42
TIME	parts_472_to_472_interaction_energies	203.89
TIME	parts_471_to_471_interaction_energies	204.27
TIME	parts_474_to_474_interaction_energies	206.89
TIME	parts_473_to_473_interaction_energies	207.16
TIME	parts_478_to_478_interaction_energies	199.36
TIME	parts_475_to_475_interaction_energies	210.68
TIME	parts_477_to_477_interaction_energies	208.24
TIME	parts_476_to_476_interaction_energies	215.31
TIME	parts_479_to_479_interaction_energies	203.22
TIME	parts_480_to_480_interaction_energies	205.85
TIME	parts_481_to_481_interaction_energies	200.74
TIME	parts_482_to_482_interaction_energies	204.65
TIME	parts_483_to_483_interaction_energies	202.08
TIME	parts_484_to_484_interaction_energies	203.01
TIME	parts_485_to_485_interaction_energies	206.61
TIME	parts_486_to_486_interaction_energies	210.13
TIME	parts_487_to_487_interaction_energies	204.39
TIME	parts_488_to_488_interaction_energies	209.51
TIME	parts_490_to_490_interaction_energies	211.95
TIME	parts_489_to_489_interaction_energies	212.35
TIME	parts_492_to_492_interaction_energies	214.46
TIME	parts_493_to_493_interaction_energies	211.43
TIME	parts_491_to_491_interaction_energies	212.86
TIME	parts_494_to_494_interaction_energies	214.37
TIME	parts_495_to_495_interaction_energies	212.63
TIME	parts_496_to_496_interaction_energies	214.44
TIME	parts_497_to_497_interaction_energies	205.51
TIME	parts_498_to_498_interaction_energies	215.22
TIME	parts_500_to_500_interaction_energies	215.01
TIME	parts_499_to_499_interaction_energies	210.83
TIME	parts_501_to_501_interaction_energies	203.06
TIME	parts_502_to_502_interaction_energies	205.46
TIME	parts_503_to_503_interaction_energies	204.93
TIME	parts_504_to_504_interaction_energies	212.2
TIME	parts_505_to_505_interaction_energies	206.03
TIME	parts_506_to_506_interaction_energies	204.58
TIME	parts_508_to_508_interaction_energies	203.9
TIME	parts_507_to_507_interaction_energies	205.74
TIME	parts_510_to_510_interaction_energies	197.77
TIME	parts_509_to_509_interaction_energies	205.53
TIME	parts_513_to_513_interaction_energies	202.13
TIME	parts_511_to_511_interaction_energies	202.77
TIME	parts_512_to_512_interaction_energies	204.24
TIME	parts_514_to_514_interaction_energies	204.55
TIME	parts_515_to_515_interaction_energies	198.94
TIME	parts_517_to_517_interaction_energies	207.62
TIME	parts_516_to_516_interaction_energies	205.98
TIME	parts_518_to_518_interaction_energies	204.38
TIME	parts_519_to_519_interaction_energies	204.13
TIME	parts_520_to_520_interaction_energies	205.19
TIME	parts_521_to_521_interaction_energies	205.97
TIME	parts_523_to_523_interaction_energies	202.44
TIME	parts_522_to_522_interaction_energies	209.38
TIME	parts_524_to_524_interaction_energies	203.66
TIME	parts_525_to_525_interaction_energies	205.98
TIME	parts_526_to_526_interaction_energies	203.95
TIME	parts_527_to_527_interaction_energies	202.04
TIME	parts_528_to_528_interaction_energies	200.01
TIME	parts_529_to_529_interaction_energies	203.16
TIME	parts_531_to_531_interaction_energies	200.95
TIME	parts_530_to_530_interaction_energies	211.38
TIME	parts_532_to_532_interaction_energies	205.74
TIME	parts_533_to_533_interaction_energies	201.12
TIME	parts_534_to_534_interaction_energies	206.17
TIME	parts_535_to_535_interaction_energies	203.53
TIME	parts_536_to_536_interaction_energies	201.58
TIME	parts_537_to_537_interaction_energies	200.73
TIME	parts_538_to_538_interaction_energies	203.02
TIME	parts_539_to_539_interaction_energies	207.09
TIME	parts_541_to_541_interaction_energies	205.57
TIME	parts_540_to_540_interaction_energies	206.38
TIME	parts_543_to_543_interaction_energies	203.76
TIME	parts_542_to_542_interaction_energies	200.16
TIME	parts_544_to_544_interaction_energies	200.59
TIME	parts_545_to_545_interaction_energies	196.48
TIME	parts_546_to_546_interaction_energies	201.91
TIME	parts_547_to_547_interaction_energies	208.99
TIME	parts_548_to_548_interaction_energies	210.55
TIME	parts_550_to_550_interaction_energies	203.45
TIME	parts_549_to_549_interaction_energies	208.49
TIME	parts_551_to_551_interaction_energies	201.67
TIME	parts_552_to_552_interaction_energies	208.32
TIME	parts_553_to_553_interaction_energies	202.13
TIME	parts_554_to_554_interaction_energies	199.37
TIME	parts_556_to_556_interaction_energies	202.12
TIME	parts_555_to_555_interaction_energies	203.4
TIME	parts_557_to_557_interaction_energies	202.74
TIME	parts_559_to_559_interaction_energies	199.77
TIME	parts_558_to_558_interaction_energies	202.74
TIME	parts_614_to_614_interaction_energies	86.12
TIME	parts_616_to_616_interaction_energies	89.23
TIME	parts_617_to_617_interaction_energies	85.47
TIME	parts_615_to_615_interaction_energies	91.01
TIME	parts_618_to_618_interaction_energies	87.31
TIME	parts_619_to_619_interaction_energies	88.97
TIME	parts_621_to_621_interaction_energies	86.32
TIME	parts_620_to_620_interaction_energies	85.31
TIME	parts_622_to_622_interaction_energies	85.76
