START	rep1_1nsn_01	on 2017 June 11 at 12:34:00
TIME	parts_459_to_459_interaction_energies	167.96
TIME	parts_468_to_468_interaction_energies	167.97
TIME	parts_461_to_461_interaction_energies	168.93
TIME	parts_458_to_458_interaction_energies	168.81
TIME	parts_467_to_467_interaction_energies	169.32
TIME	parts_469_to_469_interaction_energies	169.67
TIME	parts_445_to_445_interaction_energies	179.2
TIME	parts_453_to_453_interaction_energies	172.97
TIME	parts_447_to_447_interaction_energies	181.16
TIME	parts_466_to_466_interaction_energies	175.1
TIME	parts_462_to_462_interaction_energies	171.71
TIME	parts_480_to_480_interaction_energies	163.87
TIME	parts_479_to_479_interaction_energies	163.87
TIME	parts_457_to_457_interaction_energies	172.07
TIME	parts_452_to_452_interaction_energies	174.61
TIME	parts_454_to_454_interaction_energies	174.6
TIME	parts_456_to_456_interaction_energies	172.85
TIME	parts_465_to_465_interaction_energies	171.71
TIME	parts_470_to_470_interaction_energies	174.68
TIME	parts_471_to_471_interaction_energies	174.86
TIME	parts_472_to_472_interaction_energies	174.77
TIME	parts_477_to_477_interaction_energies	168.69
TIME	parts_463_to_463_interaction_energies	175.96
TIME	parts_455_to_455_interaction_energies	182.61
TIME	parts_439_to_439_interaction_energies	173.16
TIME	parts_440_to_440_interaction_energies	172.58
TIME	parts_478_to_478_interaction_energies	172.74
TIME	parts_473_to_473_interaction_energies	177.19
TIME	parts_464_to_464_interaction_energies	190.07
TIME	parts_482_to_482_interaction_energies	170.3
TIME	parts_475_to_475_interaction_energies	172.82
TIME	parts_481_to_481_interaction_energies	171.36
TIME	parts_474_to_474_interaction_energies	176.04
TIME	parts_476_to_476_interaction_energies	186.79
TIME	parts_483_to_483_interaction_energies	170.21
TIME	parts_484_to_484_interaction_energies	170.13
TIME	parts_485_to_485_interaction_energies	174.64
TIME	parts_486_to_486_interaction_energies	167.34
TIME	parts_488_to_488_interaction_energies	170.87
TIME	parts_487_to_487_interaction_energies	173.09
TIME	parts_503_to_503_interaction_energies	168.23
TIME	parts_504_to_504_interaction_energies	168.73
TIME	parts_505_to_505_interaction_energies	168.98
TIME	parts_501_to_501_interaction_energies	168.43
TIME	parts_502_to_502_interaction_energies	168.65
TIME	parts_506_to_506_interaction_energies	168.61
TIME	parts_509_to_509_interaction_energies	168.91
TIME	parts_508_to_508_interaction_energies	169.7
TIME	parts_494_to_494_interaction_energies	173.62
TIME	parts_495_to_495_interaction_energies	173.38
TIME	parts_490_to_490_interaction_energies	175.36
TIME	parts_493_to_493_interaction_energies	172.94
TIME	parts_497_to_497_interaction_energies	172.95
TIME	parts_507_to_507_interaction_energies	171.23
TIME	parts_491_to_491_interaction_energies	177.61
TIME	parts_498_to_498_interaction_energies	179.88
TIME	parts_500_to_500_interaction_energies	175.61
TIME	parts_489_to_489_interaction_energies	178.4
TIME	parts_492_to_492_interaction_energies	178.24
TIME	parts_521_to_521_interaction_energies	167.58
TIME	parts_520_to_520_interaction_energies	167.15
TIME	parts_522_to_522_interaction_energies	167.61
TIME	parts_519_to_519_interaction_energies	167.55
TIME	parts_523_to_523_interaction_energies	168.15
TIME	parts_512_to_512_interaction_energies	168.34
TIME	parts_518_to_518_interaction_energies	169.05
TIME	parts_511_to_511_interaction_energies	169.93
TIME	parts_496_to_496_interaction_energies	177.41
TIME	parts_510_to_510_interaction_energies	170.48
TIME	parts_514_to_514_interaction_energies	169.42
TIME	parts_513_to_513_interaction_energies	170.66
TIME	parts_526_to_526_interaction_energies	169.74
TIME	parts_525_to_525_interaction_energies	169.44
TIME	parts_524_to_524_interaction_energies	171.0
TIME	parts_499_to_499_interaction_energies	186.24
TIME	parts_517_to_517_interaction_energies	172.74
TIME	parts_528_to_528_interaction_energies	173.37
TIME	parts_527_to_527_interaction_energies	174.21
TIME	parts_515_to_515_interaction_energies	174.42
TIME	parts_530_to_530_interaction_energies	168.25
TIME	parts_516_to_516_interaction_energies	182.13
TIME	parts_533_to_533_interaction_energies	168.89
TIME	parts_532_to_532_interaction_energies	172.17
TIME	parts_531_to_531_interaction_energies	173.31
TIME	parts_529_to_529_interaction_energies	172.69
TIME	parts_536_to_536_interaction_energies	165.74
TIME	parts_537_to_537_interaction_energies	165.81
TIME	parts_535_to_535_interaction_energies	165.95
TIME	parts_534_to_534_interaction_energies	168.48
TIME	parts_540_to_540_interaction_energies	166.41
TIME	parts_576_to_576_interaction_energies	121.76
TIME	parts_541_to_541_interaction_energies	170.46
TIME	parts_542_to_542_interaction_energies	171.71
TIME	parts_575_to_575_interaction_energies	125.13
TIME	parts_543_to_543_interaction_energies	171.41
TIME	parts_539_to_539_interaction_energies	172.88
TIME	parts_580_to_580_interaction_energies	127.02
TIME	parts_554_to_554_interaction_energies	164.98
TIME	parts_553_to_553_interaction_energies	165.92
TIME	parts_551_to_551_interaction_energies	165.78
TIME	parts_552_to_552_interaction_energies	166.21
TIME	parts_584_to_584_interaction_energies	118.71
TIME	parts_583_to_583_interaction_energies	118.6
TIME	parts_582_to_582_interaction_energies	119.52
TIME	parts_549_to_549_interaction_energies	166.14
TIME	parts_550_to_550_interaction_energies	166.32
TIME	parts_547_to_547_interaction_energies	167.35
TIME	parts_548_to_548_interaction_energies	169.25
TIME	parts_545_to_545_interaction_energies	166.94
TIME	parts_544_to_544_interaction_energies	167.34
TIME	parts_574_to_574_interaction_energies	118.15
TIME	parts_546_to_546_interaction_energies	170.87
TIME	parts_538_to_538_interaction_energies	172.88
TIME	parts_563_to_563_interaction_energies	166.84
TIME	parts_562_to_562_interaction_energies	166.43
TIME	parts_581_to_581_interaction_energies	121.54
TIME	parts_561_to_561_interaction_energies	166.56
TIME	parts_566_to_566_interaction_energies	168.69
TIME	parts_577_to_577_interaction_energies	137.56
TIME	parts_564_to_564_interaction_energies	169.34
