START	rep1_3ffd_01	on 2017 June 13 at 03:02:31
TIME	parts_227_to_227_interaction_energies	66.7
TIME	parts_235_to_235_interaction_energies	58.79
TIME	parts_233_to_233_interaction_energies	65.28
TIME	parts_234_to_234_interaction_energies	69.18
TIME	parts_232_to_232_interaction_energies	71.57
TIME	parts_238_to_238_interaction_energies	63.75
TIME	parts_237_to_237_interaction_energies	63.94
TIME	parts_239_to_239_interaction_energies	66.68
TIME	parts_242_to_242_interaction_energies	69.08
TIME	parts_236_to_236_interaction_energies	67.4
TIME	parts_241_to_241_interaction_energies	66.51
TIME	parts_260_to_260_interaction_energies	69.23
TIME	parts_243_to_243_interaction_energies	64.94
TIME	parts_246_to_246_interaction_energies	58.89
TIME	parts_244_to_244_interaction_energies	64.79
TIME	parts_247_to_247_interaction_energies	64.64
TIME	parts_250_to_250_interaction_energies	64.15
TIME	parts_245_to_245_interaction_energies	63.72
TIME	parts_248_to_248_interaction_energies	65.42
TIME	parts_249_to_249_interaction_energies	69.07
TIME	parts_257_to_257_interaction_energies	59.52
TIME	parts_253_to_253_interaction_energies	63.9
TIME	parts_251_to_251_interaction_energies	65.5
TIME	parts_256_to_256_interaction_energies	67.44
TIME	parts_254_to_254_interaction_energies	66.69
TIME	parts_255_to_255_interaction_energies	64.22
TIME	parts_252_to_252_interaction_energies	67.16
TIME	parts_271_to_271_interaction_energies	69.61
TIME	parts_259_to_259_interaction_energies	63.23
TIME	parts_258_to_258_interaction_energies	64.61
TIME	parts_262_to_262_interaction_energies	65.28
TIME	parts_261_to_261_interaction_energies	66.1
TIME	parts_264_to_264_interaction_energies	67.53
TIME	parts_265_to_265_interaction_energies	66.97
TIME	parts_266_to_266_interaction_energies	68.6
TIME	parts_263_to_263_interaction_energies	67.73
TIME	parts_268_to_268_interaction_energies	58.42
TIME	parts_267_to_267_interaction_energies	63.85
TIME	parts_269_to_269_interaction_energies	66.19
TIME	parts_270_to_270_interaction_energies	71.13
TIME	parts_273_to_273_interaction_energies	63.16
TIME	parts_272_to_272_interaction_energies	65.1
TIME	parts_274_to_274_interaction_energies	65.51
TIME	parts_275_to_275_interaction_energies	71.88
TIME	parts_278_to_278_interaction_energies	61.97
TIME	parts_279_to_279_interaction_energies	59.72
TIME	parts_277_to_277_interaction_energies	67.08
TIME	parts_280_to_280_interaction_energies	69.0
TIME	parts_281_to_281_interaction_energies	66.07
TIME	parts_276_to_276_interaction_energies	68.18
TIME	parts_286_to_286_interaction_energies	64.76
TIME	parts_282_to_282_interaction_energies	68.82
TIME	parts_285_to_285_interaction_energies	69.09
TIME	parts_283_to_283_interaction_energies	65.2
TIME	parts_284_to_284_interaction_energies	72.47
TIME	parts_290_to_290_interaction_energies	60.89
TIME	parts_287_to_287_interaction_energies	64.34
TIME	parts_288_to_288_interaction_energies	66.5
TIME	parts_291_to_291_interaction_energies	67.62
TIME	parts_289_to_289_interaction_energies	67.81
TIME	parts_294_to_294_interaction_energies	65.89
TIME	parts_295_to_295_interaction_energies	70.54
TIME	parts_292_to_292_interaction_energies	67.05
TIME	parts_293_to_293_interaction_energies	71.97
TIME	parts_310_to_310_interaction_energies	65.88
TIME	parts_296_to_296_interaction_energies	64.53
TIME	parts_301_to_301_interaction_energies	61.82
TIME	parts_297_to_297_interaction_energies	66.8
TIME	parts_299_to_299_interaction_energies	66.66
TIME	parts_298_to_298_interaction_energies	67.53
TIME	parts_300_to_300_interaction_energies	70.78
TIME	parts_304_to_304_interaction_energies	67.0
TIME	parts_302_to_302_interaction_energies	67.17
TIME	parts_305_to_305_interaction_energies	68.58
TIME	parts_303_to_303_interaction_energies	73.45
TIME	parts_307_to_307_interaction_energies	66.24
TIME	parts_308_to_308_interaction_energies	68.93
TIME	parts_309_to_309_interaction_energies	68.57
TIME	parts_306_to_306_interaction_energies	67.33
TIME	parts_313_to_313_interaction_energies	67.88
TIME	parts_311_to_311_interaction_energies	66.9
TIME	parts_312_to_312_interaction_energies	63.72
TIME	parts_314_to_314_interaction_energies	68.05
TIME	parts_315_to_315_interaction_energies	64.8
TIME	parts_317_to_317_interaction_energies	65.97
TIME	parts_318_to_318_interaction_energies	68.66
TIME	parts_316_to_316_interaction_energies	75.21
TIME	parts_319_to_319_interaction_energies	69.14
TIME	parts_320_to_320_interaction_energies	69.17
TIME	parts_323_to_323_interaction_energies	58.32
TIME	parts_322_to_322_interaction_energies	67.05
TIME	parts_324_to_324_interaction_energies	67.53
TIME	parts_321_to_321_interaction_energies	68.69
TIME	parts_325_to_325_interaction_energies	69.44
TIME	parts_326_to_326_interaction_energies	70.89
TIME	parts_327_to_327_interaction_energies	66.92
TIME	parts_330_to_330_interaction_energies	63.03
TIME	parts_329_to_329_interaction_energies	66.67
TIME	parts_332_to_332_interaction_energies	67.06
TIME	parts_328_to_328_interaction_energies	70.99
TIME	parts_333_to_333_interaction_energies	71.55
TIME	parts_331_to_331_interaction_energies	66.72
TIME	parts_336_to_336_interaction_energies	66.53
TIME	parts_339_to_339_interaction_energies	69.34
TIME	parts_340_to_340_interaction_energies	69.91
TIME	parts_342_to_342_interaction_energies	71.32
TIME	parts_337_to_337_interaction_energies	71.16
TIME	parts_338_to_338_interaction_energies	71.51
TIME	parts_341_to_341_interaction_energies	70.45
TIME	parts_334_to_334_interaction_energies	55.8
TIME	parts_335_to_335_interaction_energies	59.53
TIME	parts_346_to_346_interaction_energies	60.45
TIME	parts_344_to_344_interaction_energies	66.93
TIME	parts_345_to_345_interaction_energies	70.15
TIME	parts_347_to_347_interaction_energies	73.95
TIME	parts_343_to_343_interaction_energies	68.3
TIME	parts_348_to_348_interaction_energies	69.34
TIME	parts_349_to_349_interaction_energies	71.69
TIME	parts_350_to_350_interaction_energies	68.22
TIME	parts_352_to_352_interaction_energies	70.49
TIME	parts_351_to_351_interaction_energies	72.08
TIME	parts_353_to_353_interaction_energies	69.28
TIME	parts_354_to_354_interaction_energies	71.31
TIME	parts_357_to_357_interaction_energies	59.62
TIME	parts_355_to_355_interaction_energies	68.71
TIME	parts_358_to_358_interaction_energies	69.54
TIME	parts_356_to_356_interaction_energies	73.92
TIME	parts_361_to_361_interaction_energies	71.73
TIME	parts_359_to_359_interaction_energies	73.83
TIME	parts_360_to_360_interaction_energies	74.76
TIME	parts_362_to_362_interaction_energies	69.9
TIME	parts_363_to_363_interaction_energies	71.16
TIME	parts_364_to_364_interaction_energies	72.07
TIME	parts_368_to_368_interaction_energies	62.07
TIME	parts_367_to_367_interaction_energies	62.14
TIME	parts_366_to_366_interaction_energies	73.16
TIME	parts_365_to_365_interaction_energies	76.42
TIME	parts_370_to_370_interaction_energies	60.96
TIME	parts_371_to_371_interaction_energies	60.29
TIME	parts_373_to_373_interaction_energies	60.37
TIME	parts_372_to_372_interaction_energies	62.15
TIME	parts_369_to_369_interaction_energies	65.22
TIME	parts_376_to_376_interaction_energies	58.4
TIME	parts_375_to_375_interaction_energies	61.24
TIME	parts_374_to_374_interaction_energies	59.28
TIME	parts_378_to_378_interaction_energies	60.54
TIME	parts_377_to_377_interaction_energies	62.05
TIME	parts_380_to_380_interaction_energies	60.11
TIME	parts_379_to_379_interaction_energies	60.59
TIME	parts_382_to_382_interaction_energies	61.66
TIME	parts_381_to_381_interaction_energies	63.12
TIME	parts_385_to_385_interaction_energies	58.31
TIME	parts_384_to_384_interaction_energies	60.88
TIME	parts_383_to_383_interaction_energies	59.92
TIME	parts_386_to_386_interaction_energies	70.62
TIME	parts_387_to_387_interaction_energies	71.35
TIME	parts_388_to_388_interaction_energies	60.64
TIME	parts_398_to_398_interaction_energies	61.26
TIME	parts_399_to_399_interaction_energies	60.45
TIME	parts_405_to_405_interaction_energies	63.96
TIME	parts_404_to_404_interaction_energies	62.95
TIME	parts_400_to_400_interaction_energies	61.05
TIME	parts_389_to_389_interaction_energies	60.11
TIME	parts_390_to_390_interaction_energies	60.43
TIME	parts_391_to_391_interaction_energies	61.19
TIME	parts_392_to_392_interaction_energies	60.46
TIME	parts_393_to_393_interaction_energies	61.64
TIME	parts_406_to_406_interaction_energies	62.57
TIME	parts_408_to_408_interaction_energies	61.52
TIME	parts_407_to_407_interaction_energies	58.05
TIME	parts_395_to_395_interaction_energies	59.39
TIME	parts_394_to_394_interaction_energies	61.77
TIME	parts_397_to_397_interaction_energies	68.47
TIME	parts_396_to_396_interaction_energies	58.25
TIME	parts_409_to_409_interaction_energies	60.61
TIME	parts_412_to_412_interaction_energies	62.28
TIME	parts_413_to_413_interaction_energies	62.98
TIME	parts_411_to_411_interaction_energies	64.35
TIME	parts_401_to_401_interaction_energies	1186.72
TIME	parts_402_to_402_interaction_energies	1192.32
TIME	parts_403_to_403_interaction_energies	1191.6
TIME	parts_414_to_414_interaction_energies	61.22
TIME	parts_416_to_416_interaction_energies	61.73
TIME	parts_410_to_410_interaction_energies	65.05
TIME	parts_417_to_417_interaction_energies	66.65
TIME	parts_415_to_415_interaction_energies	62.16
TIME	parts_418_to_418_interaction_energies	59.35
TIME	parts_420_to_420_interaction_energies	63.57
TIME	parts_419_to_419_interaction_energies	61.58
TIME	parts_421_to_421_interaction_energies	61.9
TIME	parts_422_to_422_interaction_energies	61.81
TIME	parts_423_to_423_interaction_energies	60.87
TIME	parts_424_to_424_interaction_energies	62.3
TIME	parts_425_to_425_interaction_energies	61.74
TIME	parts_428_to_428_interaction_energies	62.51
TIME	parts_429_to_429_interaction_energies	61.83
TIME	parts_431_to_431_interaction_energies	59.81
TIME	parts_432_to_432_interaction_energies	60.62
TIME	parts_433_to_433_interaction_energies	63.19
TIME	parts_434_to_434_interaction_energies	130.14
TIME	parts_436_to_436_interaction_energies	134.5
TIME	parts_437_to_437_interaction_energies	136.65
TIME	parts_435_to_435_interaction_energies	131.99
TIME	parts_438_to_438_interaction_energies	129.67
TIME	parts_426_to_426_interaction_energies	1162.6
TIME	parts_427_to_427_interaction_energies	1184.6
TIME	parts_439_to_439_interaction_energies	130.11
TIME	parts_440_to_440_interaction_energies	131.32
TIME	parts_430_to_430_interaction_energies	1156.48
TIME	parts_441_to_441_interaction_energies	130.71
TIME	parts_444_to_444_interaction_energies	141.41
TIME	parts_442_to_442_interaction_energies	135.3
TIME	parts_443_to_443_interaction_energies	134.42
TIME	parts_446_to_446_interaction_energies	126.52
TIME	parts_445_to_445_interaction_energies	129.53
TIME	parts_447_to_447_interaction_energies	154.2
TIME	parts_448_to_448_interaction_energies	130.85
TIME	parts_449_to_449_interaction_energies	135.53
TIME	parts_450_to_450_interaction_energies	129.46
TIME	parts_451_to_451_interaction_energies	133.15
TIME	parts_469_to_469_interaction_energies	132.85
TIME	parts_452_to_452_interaction_energies	131.11
TIME	parts_457_to_457_interaction_energies	127.36
TIME	parts_454_to_454_interaction_energies	132.48
TIME	parts_456_to_456_interaction_energies	134.04
TIME	parts_455_to_455_interaction_energies	133.52
TIME	parts_459_to_459_interaction_energies	128.45
TIME	parts_458_to_458_interaction_energies	130.48
TIME	parts_460_to_460_interaction_energies	128.15
TIME	parts_461_to_461_interaction_energies	133.63
TIME	parts_462_to_462_interaction_energies	130.02
TIME	parts_463_to_463_interaction_energies	129.26
TIME	parts_464_to_464_interaction_energies	134.17
TIME	parts_466_to_466_interaction_energies	130.14
TIME	parts_467_to_467_interaction_energies	135.18
TIME	parts_468_to_468_interaction_energies	132.08
TIME	parts_471_to_471_interaction_energies	131.54
TIME	parts_470_to_470_interaction_energies	130.44
TIME	parts_472_to_472_interaction_energies	133.58
TIME	parts_473_to_473_interaction_energies	130.14
TIME	parts_475_to_475_interaction_energies	128.98
TIME	parts_476_to_476_interaction_energies	134.48
TIME	parts_477_to_477_interaction_energies	128.19
TIME	parts_479_to_479_interaction_energies	127.05
TIME	parts_478_to_478_interaction_energies	130.65
TIME	parts_480_to_480_interaction_energies	129.93
TIME	parts_453_to_453_interaction_energies	2402.48
TIME	parts_482_to_482_interaction_energies	128.66
TIME	parts_481_to_481_interaction_energies	128.22
TIME	parts_483_to_483_interaction_energies	131.44
TIME	parts_485_to_485_interaction_energies	129.92
TIME	parts_484_to_484_interaction_energies	128.69
TIME	parts_486_to_486_interaction_energies	144.08
TIME	parts_487_to_487_interaction_energies	128.07
TIME	parts_488_to_488_interaction_energies	133.47
TIME	parts_489_to_489_interaction_energies	137.68
TIME	parts_490_to_490_interaction_energies	131.95
TIME	parts_465_to_465_interaction_energies	2459.94
TIME	parts_491_to_491_interaction_energies	133.5
TIME	parts_492_to_492_interaction_energies	134.85
TIME	parts_493_to_493_interaction_energies	131.3
TIME	parts_494_to_494_interaction_energies	136.11
TIME	parts_496_to_496_interaction_energies	133.48
TIME	parts_497_to_497_interaction_energies	132.22
TIME	parts_499_to_499_interaction_energies	132.82
TIME	parts_498_to_498_interaction_energies	134.64
TIME	parts_474_to_474_interaction_energies	2424.54
TIME	parts_500_to_500_interaction_energies	136.91
TIME	parts_501_to_501_interaction_energies	128.67
TIME	parts_503_to_503_interaction_energies	131.79
TIME	parts_502_to_502_interaction_energies	126.63
TIME	parts_520_to_520_interaction_energies	129.88
TIME	parts_504_to_504_interaction_energies	129.26
TIME	parts_505_to_505_interaction_energies	129.37
TIME	parts_507_to_507_interaction_energies	130.05
TIME	parts_506_to_506_interaction_energies	132.7
TIME	parts_508_to_508_interaction_energies	126.98
TIME	parts_509_to_509_interaction_energies	130.97
TIME	parts_528_to_528_interaction_energies	131.87
TIME	parts_511_to_511_interaction_energies	125.88
TIME	parts_510_to_510_interaction_energies	129.65
TIME	parts_512_to_512_interaction_energies	123.48
TIME	parts_513_to_513_interaction_energies	124.69
TIME	parts_514_to_514_interaction_energies	131.45
TIME	parts_515_to_515_interaction_energies	126.03
TIME	parts_516_to_516_interaction_energies	128.97
TIME	parts_517_to_517_interaction_energies	127.65
TIME	parts_536_to_536_interaction_energies	132.64
TIME	parts_518_to_518_interaction_energies	129.22
TIME	parts_495_to_495_interaction_energies	2455.0
TIME	parts_519_to_519_interaction_energies	127.4
TIME	parts_521_to_521_interaction_energies	130.15
TIME	parts_522_to_522_interaction_energies	129.31
TIME	parts_524_to_524_interaction_energies	127.86
