START	rep1_3bky_01	on 2017 June 11 at 10:19:23
TIME	parts_576_to_576_interaction_energies	98.92
TIME	parts_577_to_577_interaction_energies	99.28
TIME	parts_619_to_619_interaction_energies	99.63
TIME	parts_620_to_620_interaction_energies	101.1
TIME	parts_618_to_618_interaction_energies	101.12
TIME	parts_657_to_657_interaction_energies	99.88
TIME	parts_483_to_483_interaction_energies	222.95
TIME	parts_482_to_482_interaction_energies	224.71
TIME	parts_708_to_708_interaction_energies	100.12
TIME	parts_707_to_707_interaction_energies	98.68
TIME	parts_529_to_529_interaction_energies	220.48
TIME	parts_746_to_746_interaction_energies	102.22
TIME	parts_530_to_530_interaction_energies	225.95
TIME	parts_198_to_198_interaction_energies	103.59
TIME	parts_197_to_197_interaction_energies	110.43
TIME	parts_239_to_239_interaction_energies	105.21
TIME	parts_238_to_238_interaction_energies	107.51
TIME	parts_237_to_237_interaction_energies	107.75
TIME	parts_301_to_301_interaction_energies	100.26
TIME	parts_236_to_236_interaction_energies	112.03
TIME	parts_303_to_303_interaction_energies	113.36
TIME	parts_302_to_302_interaction_energies	113.72
TIME	parts_345_to_345_interaction_energies	112.92
TIME	parts_344_to_344_interaction_energies	114.53
TIME	parts_745_to_745_interaction_energies	103.15
TIME	parts_400_to_400_interaction_energies	103.93
TIME	parts_343_to_343_interaction_energies	118.33
TIME	parts_199_to_199_interaction_energies	107.68
TIME	parts_200_to_200_interaction_energies	108.35
TIME	parts_196_to_196_interaction_energies	110.94
TIME	parts_597_to_597_interaction_energies	99.48
TIME	parts_596_to_596_interaction_energies	100.6
TIME	parts_642_to_642_interaction_energies	100.4
TIME	parts_441_to_441_interaction_energies	223.35
TIME	parts_442_to_442_interaction_energies	226.38
TIME	parts_640_to_640_interaction_energies	103.26
TIME	parts_790_to_790_interaction_energies	215.38
TIME	parts_791_to_791_interaction_energies	217.69
TIME	parts_641_to_641_interaction_energies	103.09
TIME	parts_497_to_497_interaction_energies	221.19
TIME	parts_499_to_499_interaction_energies	226.96
TIME	parts_498_to_498_interaction_energies	228.55
TIME	parts_496_to_496_interaction_energies	230.14
TIME	parts_201_to_201_interaction_energies	100.4
TIME	parts_202_to_202_interaction_energies	107.69
TIME	parts_546_to_546_interaction_energies	223.87
TIME	parts_547_to_547_interaction_energies	225.76
TIME	parts_545_to_545_interaction_energies	222.19
TIME	parts_241_to_241_interaction_energies	109.37
TIME	parts_240_to_240_interaction_energies	110.68
TIME	parts_306_to_306_interaction_energies	105.54
TIME	parts_305_to_305_interaction_energies	114.09
TIME	parts_304_to_304_interaction_energies	114.25
TIME	parts_307_to_307_interaction_energies	109.81
TIME	parts_699_to_699_interaction_energies	102.43
TIME	parts_346_to_346_interaction_energies	102.15
TIME	parts_407_to_407_interaction_energies	92.32
TIME	parts_308_to_308_interaction_energies	110.22
TIME	parts_309_to_309_interaction_energies	114.42
TIME	parts_405_to_405_interaction_energies	106.56
TIME	parts_404_to_404_interaction_energies	106.74
TIME	parts_406_to_406_interaction_energies	107.87
TIME	parts_612_to_612_interaction_energies	98.32
TIME	parts_611_to_611_interaction_energies	101.09
TIME	parts_610_to_610_interaction_energies	103.06
TIME	parts_447_to_447_interaction_energies	226.32
TIME	parts_448_to_448_interaction_energies	227.78
TIME	parts_449_to_449_interaction_energies	226.06
TIME	parts_450_to_450_interaction_energies	225.85
TIME	parts_451_to_451_interaction_energies	227.28
TIME	parts_609_to_609_interaction_energies	102.72
TIME	parts_500_to_500_interaction_energies	231.93
TIME	parts_203_to_203_interaction_energies	106.07
TIME	parts_204_to_204_interaction_energies	103.75
TIME	parts_501_to_501_interaction_energies	227.36
TIME	parts_554_to_554_interaction_energies	221.55
TIME	parts_555_to_555_interaction_energies	223.89
TIME	parts_556_to_556_interaction_energies	225.37
TIME	parts_553_to_553_interaction_energies	225.41
TIME	parts_318_to_318_interaction_energies	105.0
TIME	parts_315_to_315_interaction_energies	110.34
TIME	parts_317_to_317_interaction_energies	113.18
TIME	parts_314_to_314_interaction_energies	114.02
TIME	parts_316_to_316_interaction_energies	119.9
TIME	parts_409_to_409_interaction_energies	98.87
TIME	parts_403_to_403_interaction_energies	101.16
TIME	parts_408_to_408_interaction_energies	101.51
TIME	parts_412_to_412_interaction_energies	100.63
TIME	parts_413_to_413_interaction_energies	100.6
TIME	parts_411_to_411_interaction_energies	103.44
TIME	parts_410_to_410_interaction_energies	104.22
TIME	parts_456_to_456_interaction_energies	227.85
TIME	parts_515_to_515_interaction_energies	221.26
TIME	parts_514_to_514_interaction_energies	224.0
TIME	parts_502_to_502_interaction_energies	226.35
TIME	parts_503_to_503_interaction_energies	226.25
TIME	parts_504_to_504_interaction_energies	229.69
TIME	parts_563_to_563_interaction_energies	216.36
TIME	parts_562_to_562_interaction_energies	220.93
TIME	parts_561_to_561_interaction_energies	223.1
TIME	parts_560_to_560_interaction_energies	224.29
TIME	parts_566_to_566_interaction_energies	242.35
TIME	parts_205_to_205_interaction_energies	111.42
TIME	parts_257_to_257_interaction_energies	100.28
TIME	parts_263_to_263_interaction_energies	106.79
TIME	parts_264_to_264_interaction_energies	107.03
TIME	parts_246_to_246_interaction_energies	99.03
TIME	parts_256_to_256_interaction_energies	109.49
TIME	parts_255_to_255_interaction_energies	109.89
TIME	parts_245_to_245_interaction_energies	107.39
TIME	parts_247_to_247_interaction_energies	108.37
TIME	parts_243_to_243_interaction_energies	113.07
TIME	parts_244_to_244_interaction_energies	114.16
TIME	parts_242_to_242_interaction_energies	115.01
TIME	parts_330_to_330_interaction_energies	109.71
TIME	parts_331_to_331_interaction_energies	110.4
TIME	parts_336_to_336_interaction_energies	113.92
TIME	parts_332_to_332_interaction_energies	115.39
TIME	parts_347_to_347_interaction_energies	118.93
TIME	parts_384_to_384_interaction_energies	101.63
TIME	parts_383_to_383_interaction_energies	101.69
TIME	parts_599_to_599_interaction_energies	100.59
TIME	parts_598_to_598_interaction_energies	100.54
TIME	parts_646_to_646_interaction_energies	98.82
TIME	parts_452_to_452_interaction_energies	221.2
TIME	parts_446_to_446_interaction_energies	224.41
TIME	parts_453_to_453_interaction_energies	224.85
TIME	parts_525_to_525_interaction_energies	227.14
TIME	parts_526_to_526_interaction_energies	230.09
TIME	parts_531_to_531_interaction_energies	222.77
TIME	parts_528_to_528_interaction_energies	222.81
TIME	parts_533_to_533_interaction_energies	222.59
TIME	parts_527_to_527_interaction_energies	225.79
TIME	parts_532_to_532_interaction_energies	226.12
TIME	parts_564_to_564_interaction_energies	227.86
TIME	parts_565_to_565_interaction_energies	228.5
TIME	parts_206_to_206_interaction_energies	107.29
TIME	parts_207_to_207_interaction_energies	110.16
TIME	parts_271_to_271_interaction_energies	111.59
TIME	parts_350_to_350_interaction_energies	116.05
TIME	parts_349_to_349_interaction_energies	119.27
TIME	parts_351_to_351_interaction_energies	118.88
TIME	parts_421_to_421_interaction_energies	101.24
TIME	parts_422_to_422_interaction_energies	103.31
TIME	parts_423_to_423_interaction_energies	97.93
TIME	parts_430_to_430_interaction_energies	99.2
TIME	parts_431_to_431_interaction_energies	98.19
TIME	parts_420_to_420_interaction_energies	103.25
TIME	parts_426_to_426_interaction_energies	107.72
TIME	parts_595_to_595_interaction_energies	103.88
TIME	parts_593_to_593_interaction_energies	103.87
TIME	parts_594_to_594_interaction_energies	104.49
TIME	parts_645_to_645_interaction_energies	104.24
TIME	parts_534_to_534_interaction_energies	220.63
TIME	parts_602_to_602_interaction_energies	96.28
TIME	parts_600_to_600_interaction_energies	101.23
TIME	parts_601_to_601_interaction_energies	101.19
TIME	parts_652_to_652_interaction_energies	94.8
TIME	parts_653_to_653_interaction_energies	98.03
TIME	parts_651_to_651_interaction_energies	99.26
TIME	parts_647_to_647_interaction_energies	103.03
TIME	parts_650_to_650_interaction_energies	102.55
TIME	parts_649_to_649_interaction_energies	103.01
TIME	parts_648_to_648_interaction_energies	102.8
TIME	parts_455_to_455_interaction_energies	225.74
TIME	parts_454_to_454_interaction_energies	230.14
TIME	parts_712_to_712_interaction_energies	101.49
TIME	parts_524_to_524_interaction_energies	225.63
TIME	parts_273_to_273_interaction_energies	103.55
TIME	parts_272_to_272_interaction_energies	108.48
TIME	parts_756_to_756_interaction_energies	96.69
TIME	parts_757_to_757_interaction_energies	97.13
TIME	parts_754_to_754_interaction_energies	98.4
TIME	parts_755_to_755_interaction_energies	99.07
TIME	parts_424_to_424_interaction_energies	100.92
TIME	parts_425_to_425_interaction_energies	103.6
TIME	parts_355_to_355_interaction_energies	116.79
TIME	parts_352_to_352_interaction_energies	119.04
TIME	parts_353_to_353_interaction_energies	118.49
TIME	parts_354_to_354_interaction_energies	120.98
TIME	parts_356_to_356_interaction_energies	118.89
TIME	parts_419_to_419_interaction_energies	102.54
TIME	parts_713_to_713_interaction_energies	103.82
TIME	parts_714_to_714_interaction_energies	104.54
TIME	parts_603_to_603_interaction_energies	99.63
TIME	parts_604_to_604_interaction_energies	99.8
TIME	parts_605_to_605_interaction_energies	99.06
TIME	parts_606_to_606_interaction_energies	100.78
TIME	parts_654_to_654_interaction_energies	103.48
TIME	parts_457_to_457_interaction_energies	227.43
TIME	parts_208_to_208_interaction_energies	112.03
TIME	parts_812_to_812_interaction_energies	221.02
TIME	parts_811_to_811_interaction_energies	222.0
TIME	parts_537_to_537_interaction_energies	221.01
