START	bench_3qg6	on 2017 May 12 at 23:38:34
TIME	interaction_energies_for_MAPs_part_HV_75	200.48
TIME	interaction_energies_for_MAPs_part_HV_76	204.39
TIME	interaction_energies_for_MAPs_part_HV_77	207.64
TIME	interaction_energies_for_MAPs_part_HV_78	208.33
TIME	interaction_energies_for_MAPs_part_HV_7	203.15
TIME	interaction_energies_for_MAPs_part_HV_70	194.11
TIME	interaction_energies_for_MAPs_part_HV_72	204.91
TIME	interaction_energies_for_MAPs_part_HV_6	207.35
TIME	interaction_energies_for_MAPs_part_HV_65	205.46
TIME	interaction_energies_for_MAPs_part_HV_62	204.57
TIME	interaction_energies_for_MAPs_part_HV_61	210.78
TIME	interaction_energies_for_MAPs_part_HV_57	204.13
TIME	interaction_energies_for_MAPs_part_HV_56	206.11
TIME	interaction_energies_for_MAPs_part_KCDR3_64	86.07
TIME	interaction_energies_for_MAPs_part_KCDR3_86	80.1
TIME	interaction_energies_for_MAPs_part_KCDR3_61	82.04
TIME	interaction_energies_for_MAPs_part_KCDR3_62	84.27
TIME	interaction_energies_for_MAPs_part_HV_52	206.84
TIME	interaction_energies_for_MAPs_part_HV_63	210.94
TIME	interaction_energies_for_MAPs_part_KCDR3_60	87.28
TIME	interaction_energies_for_MAPs_part_KCDR3_63	81.72
TIME	interaction_energies_for_MAPs_part_KCDR3_54	79.85
TIME	interaction_energies_for_MAPs_part_KCDR3_55	80.63
TIME	interaction_energies_for_MAPs_part_HV_64	202.52
TIME	interaction_energies_for_MAPs_part_HV_71	197.44
TIME	interaction_energies_for_MAPs_part_KCDR3_48	81.76
TIME	interaction_energies_for_MAPs_part_KCDR3_49	90.49
TIME	interaction_energies_for_MAPs_part_KCDR3_38	84.51
TIME	interaction_energies_for_MAPs_part_KCDR3_39	83.58
TIME	interaction_energies_for_MAPs_part_HV_40	204.17
TIME	interaction_energies_for_MAPs_part_HV_38	203.65
TIME	interaction_energies_for_MAPs_part_KCDR3_56	79.52
TIME	interaction_energies_for_MAPs_part_HV_23	212.64
TIME	interaction_energies_for_MAPs_part_HV_25	220.12
TIME	interaction_energies_for_MAPs_part_HV_26	219.52
TIME	interaction_energies_for_MAPs_part_HV_3	201.14
TIME	interaction_energies_for_MAPs_part_HV_137	205.4
TIME	interaction_energies_for_MAPs_part_HV_134	208.86
TIME	interaction_energies_for_MAPs_part_HV_135	213.13
TIME	interaction_energies_for_MAPs_part_HV_69	204.85
TIME	interaction_energies_for_MAPs_part_HV_68	201.75
TIME	interaction_energies_for_MAPs_part_HV_67	202.41
TIME	interaction_energies_for_MAPs_part_HV_126	207.6
TIME	interaction_energies_for_MAPs_part_HV_66	205.76
TIME	interaction_energies_for_MAPs_part_HV_125	206.55
TIME	interaction_energies_for_MAPs_part_HV_39	205.07
TIME	interaction_energies_for_MAPs_part_HV_120	203.53
TIME	interaction_energies_for_MAPs_part_HV_58	202.13
TIME	interaction_energies_for_MAPs_part_HV_59	195.83
TIME	interaction_energies_for_MAPs_part_HV_5	210.53
TIME	interaction_energies_for_MAPs_part_HJ_5	81.0
TIME	interaction_energies_for_MAPs_part_HV_111	204.78
TIME	interaction_energies_for_MAPs_part_HV_112	204.81
TIME	interaction_energies_for_MAPs_part_HV_55	209.6
TIME	interaction_energies_for_MAPs_part_HV_48	200.81
TIME	interaction_energies_for_MAPs_part_HV_49	208.81
TIME	interaction_energies_for_MAPs_part_HV_54	223.29
TIME	interaction_energies_for_MAPs_part_KCDR3_45	80.45
TIME	interaction_energies_for_MAPs_part_KCDR3_46	83.39
TIME	interaction_energies_for_MAPs_part_KCDR3_44	81.7
TIME	interaction_energies_for_MAPs_part_KCDR3_43	84.27
TIME	interaction_energies_for_MAPs_part_KCDR3_47	85.24
TIME	interaction_energies_for_MAPs_part_KCDR3_42	81.39
TIME	interaction_energies_for_MAPs_part_HV_8	201.51
TIME	interaction_energies_for_MAPs_part_HV_89	204.27
TIME	interaction_energies_for_MAPs_part_HV_113	206.04
TIME	interaction_energies_for_MAPs_part_HV_60	194.86
TIME	interaction_energies_for_MAPs_part_HV_36	199.69
TIME	interaction_energies_for_MAPs_part_HV_2	200.49
TIME	interaction_energies_for_MAPs_part_HV_29	217.7
TIME	interaction_energies_for_MAPs_part_HV_81	197.39
TIME	interaction_energies_for_MAPs_part_HV_14	202.69
TIME	interaction_energies_for_MAPs_part_HV_16	205.85
TIME	interaction_energies_for_MAPs_part_HV_15	204.16
TIME	interaction_energies_for_MAPs_part_HV_132	206.84
TIME	interaction_energies_for_MAPs_part_HV_99	200.27
TIME	interaction_energies_for_MAPs_part_HV_138	218.64
TIME	interaction_energies_for_MAPs_part_HV_37	203.29
