START	rep1_2qhr_01	on 2017 June 09 at 21:35:35
TIME	parts_525_to_525_interaction_energies	138.37
TIME	parts_528_to_528_interaction_energies	134.4
TIME	parts_529_to_529_interaction_energies	133.75
TIME	parts_530_to_530_interaction_energies	135.05
TIME	parts_531_to_531_interaction_energies	137.31
TIME	parts_533_to_533_interaction_energies	134.06
TIME	parts_534_to_534_interaction_energies	133.29
TIME	parts_535_to_535_interaction_energies	133.45
TIME	parts_537_to_537_interaction_energies	137.14
TIME	parts_538_to_538_interaction_energies	131.68
TIME	parts_540_to_540_interaction_energies	127.01
TIME	parts_542_to_542_interaction_energies	136.0
TIME	parts_541_to_541_interaction_energies	139.59
TIME	parts_543_to_543_interaction_energies	132.28
TIME	parts_544_to_544_interaction_energies	131.28
TIME	parts_545_to_545_interaction_energies	135.38
TIME	parts_547_to_547_interaction_energies	134.67
TIME	parts_548_to_548_interaction_energies	134.86
TIME	parts_549_to_549_interaction_energies	133.25
TIME	parts_553_to_553_interaction_energies	132.85
TIME	parts_554_to_554_interaction_energies	133.67
TIME	parts_555_to_555_interaction_energies	134.57
