START	1nsn_2017-08-24	on 2017 August 24 at 14:46:00
TIME	parts_332_to_332_interaction_energies	143.59
TIME	parts_333_to_333_interaction_energies	143.84
TIME	parts_337_to_337_interaction_energies	141.19
TIME	parts_339_to_339_interaction_energies	144.48
TIME	parts_338_to_338_interaction_energies	145.04
TIME	parts_335_to_335_interaction_energies	140.88
TIME	parts_336_to_336_interaction_energies	146.32
TIME	parts_341_to_341_interaction_energies	143.37
TIME	parts_340_to_340_interaction_energies	149.05
TIME	parts_343_to_343_interaction_energies	141.82
TIME	parts_342_to_342_interaction_energies	145.32
TIME	parts_346_to_346_interaction_energies	131.88
TIME	parts_344_to_344_interaction_energies	140.72
TIME	parts_345_to_345_interaction_energies	140.19
TIME	parts_347_to_347_interaction_energies	136.23
TIME	parts_348_to_348_interaction_energies	137.14
TIME	parts_349_to_349_interaction_energies	137.24
TIME	parts_357_to_357_interaction_energies	130.73
TIME	parts_353_to_353_interaction_energies	139.16
TIME	parts_350_to_350_interaction_energies	145.39
TIME	parts_355_to_355_interaction_energies	138.57
TIME	parts_351_to_351_interaction_energies	147.78
TIME	parts_358_to_358_interaction_energies	138.14
TIME	parts_356_to_356_interaction_energies	140.55
TIME	parts_359_to_359_interaction_energies	140.67
TIME	parts_352_to_352_interaction_energies	146.47
TIME	parts_360_to_360_interaction_energies	142.04
TIME	parts_354_to_354_interaction_energies	148.67
TIME	parts_362_to_362_interaction_energies	145.06
TIME	parts_361_to_361_interaction_energies	146.29
TIME	parts_363_to_363_interaction_energies	143.31
TIME	parts_367_to_367_interaction_energies	137.34
TIME	parts_365_to_365_interaction_energies	148.41
TIME	parts_366_to_366_interaction_energies	147.68
TIME	parts_364_to_364_interaction_energies	148.17
TIME	parts_368_to_368_interaction_energies	136.75
TIME	parts_371_to_371_interaction_energies	137.25
TIME	parts_370_to_370_interaction_energies	140.59
TIME	parts_369_to_369_interaction_energies	140.63
TIME	parts_373_to_373_interaction_energies	133.24
TIME	parts_374_to_374_interaction_energies	133.84
TIME	parts_372_to_372_interaction_energies	140.32
TIME	parts_375_to_375_interaction_energies	131.96
TIME	parts_376_to_376_interaction_energies	134.06
TIME	parts_378_to_378_interaction_energies	129.25
TIME	parts_377_to_377_interaction_energies	132.64
TIME	parts_379_to_379_interaction_energies	130.16
TIME	parts_380_to_380_interaction_energies	128.97
TIME	parts_381_to_381_interaction_energies	130.75
TIME	parts_382_to_382_interaction_energies	130.54
