START	1nsn_2017-08-24_2	on 2017 August 24 at 15:43:08
TIME	parts_137_to_137_interaction_energies	139.0
TIME	parts_134_to_134_interaction_energies	138.16
TIME	parts_138_to_138_interaction_energies	137.72
TIME	parts_133_to_133_interaction_energies	142.41
TIME	parts_136_to_136_interaction_energies	139.09
TIME	parts_139_to_139_interaction_energies	139.21
TIME	parts_141_to_141_interaction_energies	140.56
TIME	parts_140_to_140_interaction_energies	142.03
TIME	parts_142_to_142_interaction_energies	142.6
TIME	parts_143_to_143_interaction_energies	137.36
TIME	parts_145_to_145_interaction_energies	135.91
TIME	parts_144_to_144_interaction_energies	142.52
TIME	parts_148_to_148_interaction_energies	137.15
TIME	parts_146_to_146_interaction_energies	135.99
TIME	parts_150_to_150_interaction_energies	137.13
TIME	parts_147_to_147_interaction_energies	140.98
TIME	parts_149_to_149_interaction_energies	138.39
TIME	parts_157_to_157_interaction_energies	133.02
TIME	parts_153_to_153_interaction_energies	137.79
TIME	parts_152_to_152_interaction_energies	138.47
TIME	parts_151_to_151_interaction_energies	140.97
TIME	parts_154_to_154_interaction_energies	137.81
TIME	parts_156_to_156_interaction_energies	139.2
TIME	parts_155_to_155_interaction_energies	139.28
TIME	parts_158_to_158_interaction_energies	141.07
TIME	parts_159_to_159_interaction_energies	140.03
TIME	parts_160_to_160_interaction_energies	141.66
TIME	parts_161_to_161_interaction_energies	138.51
TIME	parts_163_to_163_interaction_energies	138.88
TIME	parts_166_to_166_interaction_energies	138.79
TIME	parts_162_to_162_interaction_energies	142.1
TIME	parts_165_to_165_interaction_energies	139.49
TIME	parts_164_to_164_interaction_energies	139.63
TIME	parts_167_to_167_interaction_energies	138.1
TIME	parts_168_to_168_interaction_energies	136.64
TIME	parts_171_to_171_interaction_energies	140.25
TIME	parts_170_to_170_interaction_energies	140.7
TIME	parts_169_to_169_interaction_energies	141.45
TIME	parts_174_to_174_interaction_energies	140.25
TIME	parts_172_to_172_interaction_energies	140.74
TIME	parts_173_to_173_interaction_energies	142.19
TIME	parts_175_to_175_interaction_energies	142.21
TIME	parts_176_to_176_interaction_energies	142.14
TIME	parts_177_to_177_interaction_energies	142.1
TIME	parts_178_to_178_interaction_energies	137.43
TIME	parts_180_to_180_interaction_energies	137.34
TIME	parts_179_to_179_interaction_energies	137.91
TIME	parts_182_to_182_interaction_energies	137.83
TIME	parts_181_to_181_interaction_energies	143.29
TIME	parts_184_to_184_interaction_energies	137.38
TIME	parts_183_to_183_interaction_energies	137.52
TIME	parts_185_to_185_interaction_energies	138.48
TIME	parts_186_to_186_interaction_energies	140.73
TIME	parts_189_to_189_interaction_energies	138.67
TIME	parts_188_to_188_interaction_energies	138.98
TIME	parts_187_to_187_interaction_energies	139.49
TIME	parts_191_to_191_interaction_energies	138.4
TIME	parts_190_to_190_interaction_energies	136.29
TIME	parts_192_to_192_interaction_energies	141.36
TIME	parts_193_to_193_interaction_energies	137.5
TIME	parts_194_to_194_interaction_energies	138.42
TIME	parts_195_to_195_interaction_energies	139.89
TIME	parts_199_to_199_interaction_energies	138.46
TIME	parts_201_to_201_interaction_energies	136.53
TIME	parts_196_to_196_interaction_energies	141.68
TIME	parts_198_to_198_interaction_energies	140.54
TIME	parts_197_to_197_interaction_energies	141.33
TIME	parts_200_to_200_interaction_energies	141.41
TIME	parts_202_to_202_interaction_energies	141.4
TIME	parts_203_to_203_interaction_energies	141.54
TIME	parts_204_to_204_interaction_energies	140.76
TIME	parts_205_to_205_interaction_energies	142.98
TIME	parts_206_to_206_interaction_energies	141.65
TIME	parts_207_to_207_interaction_energies	142.71
TIME	parts_208_to_208_interaction_energies	142.99
TIME	parts_210_to_210_interaction_energies	137.03
TIME	parts_211_to_211_interaction_energies	134.3
TIME	parts_209_to_209_interaction_energies	143.28
TIME	parts_213_to_213_interaction_energies	137.24
TIME	parts_212_to_212_interaction_energies	137.05
TIME	parts_216_to_216_interaction_energies	137.82
TIME	parts_215_to_215_interaction_energies	138.09
TIME	parts_217_to_217_interaction_energies	139.4
TIME	parts_214_to_214_interaction_energies	141.41
TIME	parts_223_to_223_interaction_energies	132.76
TIME	parts_218_to_218_interaction_energies	141.07
TIME	parts_222_to_222_interaction_energies	140.7
TIME	parts_219_to_219_interaction_energies	138.67
TIME	parts_220_to_220_interaction_energies	140.4
TIME	parts_221_to_221_interaction_energies	141.46
TIME	parts_224_to_224_interaction_energies	137.45
TIME	parts_225_to_225_interaction_energies	140.18
TIME	parts_226_to_226_interaction_energies	138.72
TIME	parts_227_to_227_interaction_energies	139.72
TIME	parts_228_to_228_interaction_energies	139.16
TIME	parts_229_to_229_interaction_energies	141.79
TIME	parts_230_to_230_interaction_energies	142.77
TIME	parts_231_to_231_interaction_energies	142.29
TIME	parts_232_to_232_interaction_energies	142.98
TIME	parts_233_to_233_interaction_energies	140.63
TIME	parts_235_to_235_interaction_energies	136.74
TIME	parts_234_to_234_interaction_energies	141.19
TIME	parts_236_to_236_interaction_energies	142.97
TIME	parts_238_to_238_interaction_energies	141.63
TIME	parts_237_to_237_interaction_energies	141.57
TIME	parts_239_to_239_interaction_energies	141.16
TIME	parts_240_to_240_interaction_energies	137.58
TIME	parts_242_to_242_interaction_energies	138.25
TIME	parts_241_to_241_interaction_energies	136.82
TIME	parts_243_to_243_interaction_energies	136.94
TIME	parts_244_to_244_interaction_energies	140.23
TIME	parts_246_to_246_interaction_energies	134.42
TIME	parts_245_to_245_interaction_energies	142.36
TIME	parts_248_to_248_interaction_energies	137.97
TIME	parts_247_to_247_interaction_energies	139.71
TIME	parts_250_to_250_interaction_energies	141.03
TIME	parts_249_to_249_interaction_energies	143.11
TIME	parts_252_to_252_interaction_energies	141.08
TIME	parts_251_to_251_interaction_energies	141.81
TIME	parts_253_to_253_interaction_energies	139.96
TIME	parts_254_to_254_interaction_energies	140.37
TIME	parts_255_to_255_interaction_energies	140.16
TIME	parts_259_to_259_interaction_energies	139.07
TIME	parts_257_to_257_interaction_energies	136.08
TIME	parts_256_to_256_interaction_energies	143.17
TIME	parts_258_to_258_interaction_energies	139.85
TIME	parts_260_to_260_interaction_energies	140.53
TIME	parts_261_to_261_interaction_energies	142.03
TIME	parts_262_to_262_interaction_energies	143.28
TIME	parts_263_to_263_interaction_energies	141.41
TIME	parts_264_to_264_interaction_energies	141.95
TIME	parts_265_to_265_interaction_energies	141.93
TIME	parts_266_to_266_interaction_energies	142.54
TIME	parts_267_to_267_interaction_energies	140.71
TIME	parts_268_to_268_interaction_energies	136.8
TIME	parts_269_to_269_interaction_energies	142.98
TIME	parts_270_to_270_interaction_energies	144.37
TIME	parts_271_to_271_interaction_energies	141.58
TIME	parts_275_to_275_interaction_energies	137.61
TIME	parts_273_to_273_interaction_energies	135.62
TIME	parts_274_to_274_interaction_energies	137.48
TIME	parts_272_to_272_interaction_energies	136.66
TIME	parts_279_to_279_interaction_energies	133.59
TIME	parts_277_to_277_interaction_energies	140.53
TIME	parts_280_to_280_interaction_energies	137.88
TIME	parts_278_to_278_interaction_energies	140.82
TIME	parts_276_to_276_interaction_energies	142.5
TIME	parts_281_to_281_interaction_energies	142.83
TIME	parts_283_to_283_interaction_energies	141.52
TIME	parts_284_to_284_interaction_energies	141.78
TIME	parts_282_to_282_interaction_energies	144.28
TIME	parts_287_to_287_interaction_energies	139.91
TIME	parts_286_to_286_interaction_energies	140.53
TIME	parts_285_to_285_interaction_energies	142.26
TIME	parts_289_to_289_interaction_energies	141.44
TIME	parts_290_to_290_interaction_energies	138.24
TIME	parts_288_to_288_interaction_energies	144.07
TIME	parts_293_to_293_interaction_energies	144.16
TIME	parts_291_to_291_interaction_energies	144.39
TIME	parts_292_to_292_interaction_energies	143.4
TIME	parts_294_to_294_interaction_energies	143.47
TIME	parts_296_to_296_interaction_energies	142.05
TIME	parts_295_to_295_interaction_energies	144.61
TIME	parts_297_to_297_interaction_energies	144.02
TIME	parts_299_to_299_interaction_energies	141.05
TIME	parts_298_to_298_interaction_energies	141.3
TIME	parts_301_to_301_interaction_energies	137.66
TIME	parts_300_to_300_interaction_energies	144.11
TIME	parts_302_to_302_interaction_energies	144.35
TIME	parts_307_to_307_interaction_energies	137.75
TIME	parts_303_to_303_interaction_energies	142.81
TIME	parts_306_to_306_interaction_energies	140.11
TIME	parts_304_to_304_interaction_energies	143.23
TIME	parts_305_to_305_interaction_energies	143.6
TIME	parts_308_to_308_interaction_energies	140.95
TIME	parts_312_to_312_interaction_energies	137.1
TIME	parts_309_to_309_interaction_energies	144.24
TIME	parts_310_to_310_interaction_energies	141.92
TIME	parts_311_to_311_interaction_energies	144.84
TIME	parts_315_to_315_interaction_energies	140.77
TIME	parts_314_to_314_interaction_energies	143.0
TIME	parts_313_to_313_interaction_energies	142.22
TIME	parts_318_to_318_interaction_energies	139.63
TIME	parts_316_to_316_interaction_energies	147.47
TIME	parts_317_to_317_interaction_energies	141.77
TIME	parts_320_to_320_interaction_energies	142.49
TIME	parts_319_to_319_interaction_energies	143.18
TIME	parts_321_to_321_interaction_energies	142.71
TIME	parts_322_to_322_interaction_energies	143.41
TIME	parts_324_to_324_interaction_energies	142.37
TIME	parts_323_to_323_interaction_energies	136.54
TIME	parts_325_to_325_interaction_energies	144.07
TIME	parts_326_to_326_interaction_energies	145.97
TIME	parts_327_to_327_interaction_energies	143.83
TIME	parts_329_to_329_interaction_energies	144.39
TIME	parts_328_to_328_interaction_energies	145.49
TIME	parts_330_to_330_interaction_energies	140.01
TIME	parts_331_to_331_interaction_energies	140.46
TIME	parts_334_to_334_interaction_energies	134.17
TIME	parts_332_to_332_interaction_energies	145.28
TIME	parts_333_to_333_interaction_energies	146.72
TIME	parts_335_to_335_interaction_energies	135.26
TIME	parts_336_to_336_interaction_energies	142.46
TIME	parts_337_to_337_interaction_energies	143.48
TIME	parts_339_to_339_interaction_energies	143.82
TIME	parts_340_to_340_interaction_energies	145.31
TIME	parts_338_to_338_interaction_energies	145.56
TIME	parts_346_to_346_interaction_energies	136.54
TIME	parts_341_to_341_interaction_energies	143.11
TIME	parts_343_to_343_interaction_energies	143.96
TIME	parts_342_to_342_interaction_energies	147.2
TIME	parts_344_to_344_interaction_energies	146.13
TIME	parts_345_to_345_interaction_energies	145.0
TIME	parts_347_to_347_interaction_energies	143.22
TIME	parts_348_to_348_interaction_energies	144.51
TIME	parts_349_to_349_interaction_energies	144.4
TIME	parts_350_to_350_interaction_energies	145.4
TIME	parts_351_to_351_interaction_energies	145.43
TIME	parts_352_to_352_interaction_energies	144.58
TIME	parts_353_to_353_interaction_energies	146.35
TIME	parts_354_to_354_interaction_energies	148.3
TIME	parts_356_to_356_interaction_energies	145.25
TIME	parts_355_to_355_interaction_energies	145.33
TIME	parts_357_to_357_interaction_energies	137.37
TIME	parts_358_to_358_interaction_energies	145.87
TIME	parts_359_to_359_interaction_energies	147.69
TIME	parts_360_to_360_interaction_energies	149.14
TIME	parts_361_to_361_interaction_energies	149.31
TIME	parts_363_to_363_interaction_energies	145.27
TIME	parts_362_to_362_interaction_energies	146.5
TIME	parts_364_to_364_interaction_energies	148.91
TIME	parts_365_to_365_interaction_energies	150.77
TIME	parts_366_to_366_interaction_energies	150.38
TIME	parts_367_to_367_interaction_energies	134.51
TIME	parts_368_to_368_interaction_energies	136.36
TIME	parts_369_to_369_interaction_energies	137.16
TIME	parts_370_to_370_interaction_energies	137.29
TIME	parts_371_to_371_interaction_energies	135.72
TIME	parts_373_to_373_interaction_energies	136.61
