START	rep1_2igf_01	on 2017 June 13 at 03:02:31
TIME	parts_409_to_409_interaction_energies	92.32
TIME	parts_421_to_421_interaction_energies	88.9
TIME	parts_420_to_420_interaction_energies	95.25
TIME	parts_426_to_426_interaction_energies	92.17
TIME	parts_410_to_410_interaction_energies	94.47
TIME	parts_427_to_427_interaction_energies	94.53
TIME	parts_411_to_411_interaction_energies	92.77
TIME	parts_412_to_412_interaction_energies	90.22
TIME	parts_413_to_413_interaction_energies	89.89
TIME	parts_414_to_414_interaction_energies	90.2
TIME	parts_419_to_419_interaction_energies	94.39
TIME	parts_429_to_429_interaction_energies	89.58
TIME	parts_428_to_428_interaction_energies	90.63
TIME	parts_432_to_432_interaction_energies	91.41
TIME	parts_431_to_431_interaction_energies	90.35
TIME	parts_430_to_430_interaction_energies	91.88
TIME	parts_415_to_415_interaction_energies	90.26
TIME	parts_417_to_417_interaction_energies	91.44
TIME	parts_416_to_416_interaction_energies	90.9
TIME	parts_418_to_418_interaction_energies	87.2
TIME	parts_434_to_434_interaction_energies	210.52
TIME	parts_436_to_436_interaction_energies	220.16
TIME	parts_435_to_435_interaction_energies	218.09
TIME	parts_433_to_433_interaction_energies	89.59
TIME	parts_439_to_439_interaction_energies	216.69
TIME	parts_440_to_440_interaction_energies	216.54
TIME	parts_437_to_437_interaction_energies	218.31
TIME	parts_441_to_441_interaction_energies	222.42
TIME	parts_438_to_438_interaction_energies	215.72
TIME	parts_442_to_442_interaction_energies	212.3
TIME	parts_444_to_444_interaction_energies	216.53
TIME	parts_423_to_423_interaction_energies	1706.69
TIME	parts_422_to_422_interaction_energies	1774.32
TIME	parts_424_to_424_interaction_energies	1759.98
TIME	parts_445_to_445_interaction_energies	210.47
TIME	parts_425_to_425_interaction_energies	1809.18
TIME	parts_446_to_446_interaction_energies	215.83
TIME	parts_447_to_447_interaction_energies	214.41
TIME	parts_449_to_449_interaction_energies	215.2
TIME	parts_451_to_451_interaction_energies	223.82
TIME	parts_452_to_452_interaction_energies	222.43
TIME	parts_453_to_453_interaction_energies	213.23
TIME	parts_455_to_455_interaction_energies	214.8
TIME	parts_457_to_457_interaction_energies	241.7
TIME	parts_459_to_459_interaction_energies	217.07
TIME	parts_458_to_458_interaction_energies	221.58
TIME	parts_461_to_461_interaction_energies	238.91
TIME	parts_462_to_462_interaction_energies	217.11
TIME	parts_463_to_463_interaction_energies	220.07
TIME	parts_464_to_464_interaction_energies	217.65
TIME	parts_465_to_465_interaction_energies	224.25
TIME	parts_466_to_466_interaction_energies	224.95
TIME	parts_467_to_467_interaction_energies	219.45
TIME	parts_468_to_468_interaction_energies	219.55
TIME	parts_469_to_469_interaction_energies	219.53
TIME	parts_470_to_470_interaction_energies	217.74
TIME	parts_471_to_471_interaction_energies	215.47
TIME	parts_473_to_473_interaction_energies	220.18
TIME	parts_474_to_474_interaction_energies	218.23
TIME	parts_475_to_475_interaction_energies	215.68
TIME	parts_476_to_476_interaction_energies	233.12
TIME	parts_477_to_477_interaction_energies	214.62
TIME	parts_478_to_478_interaction_energies	210.41
TIME	parts_481_to_481_interaction_energies	216.06
TIME	parts_479_to_479_interaction_energies	211.0
TIME	parts_480_to_480_interaction_energies	219.88
TIME	parts_482_to_482_interaction_energies	210.71
TIME	parts_484_to_484_interaction_energies	210.99
TIME	parts_483_to_483_interaction_energies	218.52
TIME	parts_486_to_486_interaction_energies	219.64
TIME	parts_485_to_485_interaction_energies	213.73
TIME	parts_443_to_443_interaction_energies	4007.56
TIME	parts_488_to_488_interaction_energies	246.33
TIME	parts_487_to_487_interaction_energies	215.0
TIME	parts_489_to_489_interaction_energies	221.37
TIME	parts_448_to_448_interaction_energies	4070.93
TIME	parts_490_to_490_interaction_energies	225.89
TIME	parts_491_to_491_interaction_energies	222.85
TIME	parts_450_to_450_interaction_energies	4068.45
TIME	parts_494_to_494_interaction_energies	221.99
TIME	parts_493_to_493_interaction_energies	229.14
TIME	parts_454_to_454_interaction_energies	4042.8
TIME	parts_495_to_495_interaction_energies	221.98
TIME	parts_496_to_496_interaction_energies	220.36
TIME	parts_456_to_456_interaction_energies	4048.64
TIME	parts_497_to_497_interaction_energies	221.27
TIME	parts_499_to_499_interaction_energies	225.03
TIME	parts_500_to_500_interaction_energies	247.7
TIME	parts_498_to_498_interaction_energies	220.45
TIME	parts_460_to_460_interaction_energies	4034.25
TIME	parts_501_to_501_interaction_energies	210.79
TIME	parts_502_to_502_interaction_energies	220.81
TIME	parts_504_to_504_interaction_energies	214.52
TIME	parts_505_to_505_interaction_energies	245.58
TIME	parts_506_to_506_interaction_energies	214.06
TIME	parts_508_to_508_interaction_energies	213.3
TIME	parts_507_to_507_interaction_energies	217.22
TIME	parts_509_to_509_interaction_energies	215.61
TIME	parts_510_to_510_interaction_energies	210.17
TIME	parts_472_to_472_interaction_energies	4043.3
TIME	parts_514_to_514_interaction_energies	209.15
TIME	parts_513_to_513_interaction_energies	210.46
TIME	parts_512_to_512_interaction_energies	210.32
TIME	parts_515_to_515_interaction_energies	205.63
TIME	parts_516_to_516_interaction_energies	216.6
TIME	parts_517_to_517_interaction_energies	215.13
TIME	parts_519_to_519_interaction_energies	239.13
TIME	parts_518_to_518_interaction_energies	221.25
TIME	parts_520_to_520_interaction_energies	213.71
TIME	parts_521_to_521_interaction_energies	216.91
TIME	parts_523_to_523_interaction_energies	211.76
TIME	parts_522_to_522_interaction_energies	214.58
TIME	parts_525_to_525_interaction_energies	236.28
TIME	parts_526_to_526_interaction_energies	218.88
TIME	parts_527_to_527_interaction_energies	216.65
TIME	parts_528_to_528_interaction_energies	214.84
TIME	parts_530_to_530_interaction_energies	217.99
TIME	parts_531_to_531_interaction_energies	213.87
TIME	parts_532_to_532_interaction_energies	218.97
TIME	parts_533_to_533_interaction_energies	217.29
TIME	parts_551_to_551_interaction_energies	213.38
TIME	parts_535_to_535_interaction_energies	215.24
TIME	parts_492_to_492_interaction_energies	4183.97
TIME	parts_534_to_534_interaction_energies	218.44
TIME	parts_537_to_537_interaction_energies	208.47
TIME	parts_536_to_536_interaction_energies	214.47
TIME	parts_538_to_538_interaction_energies	217.84
TIME	parts_540_to_540_interaction_energies	207.34
TIME	parts_539_to_539_interaction_energies	217.41
TIME	parts_559_to_559_interaction_energies	208.27
TIME	parts_542_to_542_interaction_energies	207.28
TIME	parts_541_to_541_interaction_energies	217.37
TIME	parts_503_to_503_interaction_energies	3973.32
TIME	parts_543_to_543_interaction_energies	215.52
TIME	parts_544_to_544_interaction_energies	211.66
TIME	parts_545_to_545_interaction_energies	211.57
TIME	parts_546_to_546_interaction_energies	218.21
TIME	parts_549_to_549_interaction_energies	214.61
TIME	parts_548_to_548_interaction_energies	219.6
TIME	parts_552_to_552_interaction_energies	215.85
TIME	parts_553_to_553_interaction_energies	216.03
TIME	parts_511_to_511_interaction_energies	3960.41
TIME	parts_555_to_555_interaction_energies	209.5
TIME	parts_554_to_554_interaction_energies	213.61
TIME	parts_573_to_573_interaction_energies	222.12
TIME	parts_575_to_575_interaction_energies	88.9
TIME	parts_557_to_557_interaction_energies	210.96
TIME	parts_558_to_558_interaction_energies	210.71
TIME	parts_556_to_556_interaction_energies	214.66
TIME	parts_560_to_560_interaction_energies	216.74
TIME	parts_561_to_561_interaction_energies	207.07
TIME	parts_562_to_562_interaction_energies	208.32
