START	bench_2or9	on 2017 May 12 at 22:38:03
TIME	interaction_energies_for_MAPs_part_HCDR3_146	47.42
TIME	interaction_energies_for_MAPs_part_HCDR3_88	45.85
TIME	interaction_energies_for_MAPs_part_HCDR3_166	47.02
TIME	interaction_energies_for_MAPs_part_HCDR3_9	43.24
TIME	interaction_energies_for_MAPs_part_HCDR3_331	48.32
TIME	interaction_energies_for_MAPs_part_HCDR3_333	49.16
TIME	interaction_energies_for_MAPs_part_HCDR3_149	47.48
TIME	interaction_energies_for_MAPs_part_HCDR3_335	49.03
TIME	interaction_energies_for_MAPs_part_HCDR3_341	50.27
TIME	interaction_energies_for_MAPs_part_HCDR3_13	44.67
TIME	interaction_energies_for_MAPs_part_HCDR3_338	50.44
TIME	interaction_energies_for_MAPs_part_HCDR3_135	44.93
TIME	interaction_energies_for_MAPs_part_HCDR3_138	47.81
TIME	interaction_energies_for_MAPs_part_HCDR3_134	47.79
TIME	interaction_energies_for_MAPs_part_HCDR3_344	47.06
TIME	interaction_energies_for_MAPs_part_HCDR3_342	52.77
TIME	interaction_energies_for_MAPs_part_HCDR3_132	45.1
TIME	interaction_energies_for_MAPs_part_HCDR3_131	45.92
TIME	interaction_energies_for_MAPs_part_HCDR3_133	46.52
TIME	interaction_energies_for_MAPs_part_HCDR3_130	46.46
TIME	interaction_energies_for_MAPs_part_HV_27	111.82
TIME	interaction_energies_for_MAPs_part_HV_26	108.48
TIME	interaction_energies_for_MAPs_part_HCDR3_346	49.97
TIME	interaction_energies_for_MAPs_part_HCDR3_34	43.61
TIME	interaction_energies_for_MAPs_part_HCDR3_348	50.33
TIME	interaction_energies_for_MAPs_part_HV_28	109.46
TIME	interaction_energies_for_MAPs_part_HV_29	110.63
TIME	interaction_energies_for_MAPs_part_HCDR3_128	48.06
TIME	interaction_energies_for_MAPs_part_HV_22	110.17
TIME	interaction_energies_for_MAPs_part_HV_141	106.15
TIME	interaction_energies_for_MAPs_part_HV_25	113.2
TIME	interaction_energies_for_MAPs_part_HV_24	110.76
TIME	interaction_energies_for_MAPs_part_HV_23	110.99
TIME	interaction_energies_for_MAPs_part_HV_16	100.92
TIME	interaction_energies_for_MAPs_part_HV_17	102.1
TIME	interaction_energies_for_MAPs_part_HV_15	103.58
TIME	interaction_energies_for_MAPs_part_HV_139	104.56
TIME	interaction_energies_for_MAPs_part_HV_13	105.48
TIME	interaction_energies_for_MAPs_part_HV_138	108.84
TIME	interaction_energies_for_MAPs_part_HV_140	104.41
TIME	interaction_energies_for_MAPs_part_HV_117	101.75
TIME	interaction_energies_for_MAPs_part_HCDR3_126	46.69
TIME	interaction_energies_for_MAPs_part_HV_118	107.28
TIME	interaction_energies_for_MAPs_part_HV_116	103.96
TIME	interaction_energies_for_MAPs_part_HV_115	103.34
TIME	interaction_energies_for_MAPs_part_HV_114	107.91
TIME	interaction_energies_for_MAPs_part_HV_112	105.82
TIME	interaction_energies_for_MAPs_part_HV_111	105.7
TIME	interaction_energies_for_MAPs_part_HV_113	109.81
TIME	interaction_energies_for_MAPs_part_HJ_4	45.3
TIME	interaction_energies_for_MAPs_part_HJ_3	44.6
TIME	interaction_energies_for_MAPs_part_HJ_5	44.84
TIME	interaction_energies_for_MAPs_part_HJ_2	44.91
TIME	interaction_energies_for_MAPs_part_HV_105	103.41
TIME	interaction_energies_for_MAPs_part_HV_107	106.78
TIME	interaction_energies_for_MAPs_part_HV_106	104.37
TIME	interaction_energies_for_MAPs_part_HV_104	104.31
