START	bench_2g5b	on 2017 May 12 at 22:18:35
TIME	interaction_energies_for_MAPs_part_HV_58	190.22
TIME	interaction_energies_for_MAPs_part_HV_57	191.8
TIME	interaction_energies_for_MAPs_part_HV_54	193.68
TIME	interaction_energies_for_MAPs_part_HV_55	191.02
TIME	interaction_energies_for_MAPs_part_HV_53	192.56
TIME	interaction_energies_for_MAPs_part_HV_56	193.38
TIME	interaction_energies_for_MAPs_part_HV_50	189.84
TIME	interaction_energies_for_MAPs_part_HV_52	193.04
TIME	interaction_energies_for_MAPs_part_HV_51	193.65
TIME	interaction_energies_for_MAPs_part_HV_4	194.52
TIME	interaction_energies_for_MAPs_part_HV_43	187.56
TIME	interaction_energies_for_MAPs_part_HV_42	190.36
TIME	interaction_energies_for_MAPs_part_HV_44	189.79
TIME	interaction_energies_for_MAPs_part_HV_46	191.89
TIME	interaction_energies_for_MAPs_part_KCDR3_41	75.66
TIME	interaction_energies_for_MAPs_part_HV_3	192.91
TIME	interaction_energies_for_MAPs_part_HV_38	193.45
TIME	interaction_energies_for_MAPs_part_HV_39	194.34
TIME	interaction_energies_for_MAPs_part_HV_45	187.26
TIME	interaction_energies_for_MAPs_part_HV_28	194.03
TIME	interaction_energies_for_MAPs_part_HV_2	193.59
TIME	interaction_energies_for_MAPs_part_HV_27	196.99
TIME	interaction_energies_for_MAPs_part_HV_31	199.3
TIME	interaction_energies_for_MAPs_part_HV_29	205.2
TIME	interaction_energies_for_MAPs_part_HV_19	191.79
TIME	interaction_energies_for_MAPs_part_HV_30	198.95
TIME	interaction_energies_for_MAPs_part_HV_1	192.57
TIME	interaction_energies_for_MAPs_part_HV_20	196.78
TIME	interaction_energies_for_MAPs_part_HV_21	200.74
TIME	interaction_energies_for_MAPs_part_HV_24	203.37
TIME	interaction_energies_for_MAPs_part_HV_23	202.76
TIME	interaction_energies_for_MAPs_part_HV_13	194.02
TIME	interaction_energies_for_MAPs_part_HV_22	200.62
TIME	interaction_energies_for_MAPs_part_HV_139	191.13
TIME	interaction_energies_for_MAPs_part_HV_135	195.39
TIME	interaction_energies_for_MAPs_part_HV_137	194.52
TIME	interaction_energies_for_MAPs_part_HV_85	187.62
TIME	interaction_energies_for_MAPs_part_HV_138	200.18
TIME	interaction_energies_for_MAPs_part_HV_82	188.72
TIME	interaction_energies_for_MAPs_part_HV_125	193.02
TIME	interaction_energies_for_MAPs_part_HV_84	189.43
TIME	interaction_energies_for_MAPs_part_HV_126	194.92
TIME	interaction_energies_for_MAPs_part_HV_83	193.05
TIME	interaction_energies_for_MAPs_part_HV_81	189.66
TIME	interaction_energies_for_MAPs_part_HV_114	199.13
TIME	interaction_energies_for_MAPs_part_HV_72	183.58
TIME	interaction_energies_for_MAPs_part_HJ_1	76.89
TIME	interaction_energies_for_MAPs_part_HCDR3_1	71.59
TIME	interaction_energies_for_MAPs_part_HCDR3_20	76.2
TIME	interaction_energies_for_MAPs_part_HCDR3_19	74.5
TIME	interaction_energies_for_MAPs_part_HCDR3_215	86.08
TIME	interaction_energies_for_MAPs_part_HCDR3_204	81.42
TIME	interaction_energies_for_MAPs_part_HCDR3_203	81.33
TIME	interaction_energies_for_MAPs_part_HCDR3_208	82.67
TIME	interaction_energies_for_MAPs_part_HCDR3_209	80.59
TIME	interaction_energies_for_MAPs_part_HCDR3_212	80.06
