START	rep1_3l5w_01	on 2017 June 09 at 21:33:45
TIME	parts_381_to_381_interaction_energies	165.18
TIME	parts_186_to_186_interaction_energies	172.28
TIME	parts_280_to_280_interaction_energies	175.05
TIME	parts_296_to_296_interaction_energies	176.27
TIME	parts_297_to_297_interaction_energies	182.35
TIME	parts_133_to_133_interaction_energies	169.88
TIME	parts_329_to_329_interaction_energies	179.51
TIME	parts_327_to_327_interaction_energies	180.49
TIME	parts_231_to_231_interaction_energies	175.05
TIME	parts_399_to_399_interaction_energies	166.82
TIME	parts_398_to_398_interaction_energies	167.5
TIME	parts_144_to_144_interaction_energies	171.69
TIME	parts_238_to_238_interaction_energies	175.18
TIME	parts_328_to_328_interaction_energies	180.96
TIME	parts_340_to_340_interaction_energies	184.72
TIME	parts_354_to_354_interaction_energies	186.95
TIME	parts_448_to_448_interaction_energies	258.27
TIME	parts_407_to_407_interaction_energies	160.7
TIME	parts_265_to_265_interaction_energies	173.13
TIME	parts_467_to_467_interaction_energies	257.91
TIME	parts_383_to_383_interaction_energies	166.8
TIME	parts_468_to_468_interaction_energies	261.96
TIME	parts_290_to_290_interaction_energies	172.49
TIME	parts_289_to_289_interaction_energies	179.39
TIME	parts_298_to_298_interaction_energies	174.71
TIME	parts_202_to_202_interaction_energies	172.87
TIME	parts_364_to_364_interaction_energies	188.14
TIME	parts_431_to_431_interaction_energies	167.64
TIME	parts_218_to_218_interaction_energies	174.54
TIME	parts_217_to_217_interaction_energies	175.34
TIME	parts_330_to_330_interaction_energies	176.04
TIME	parts_331_to_331_interaction_energies	176.18
TIME	parts_391_to_391_interaction_energies	166.98
TIME	parts_239_to_239_interaction_energies	172.51
TIME	parts_240_to_240_interaction_energies	181.29
TIME	parts_341_to_341_interaction_energies	177.41
TIME	parts_408_to_408_interaction_energies	165.56
TIME	parts_443_to_443_interaction_energies	255.93
TIME	parts_444_to_444_interaction_energies	256.52
TIME	parts_463_to_463_interaction_energies	259.33
TIME	parts_411_to_411_interaction_energies	177.82
TIME	parts_410_to_410_interaction_energies	171.51
TIME	parts_187_to_187_interaction_energies	171.0
TIME	parts_293_to_293_interaction_energies	181.86
TIME	parts_292_to_292_interaction_energies	180.49
TIME	parts_303_to_303_interaction_energies	180.71
TIME	parts_365_to_365_interaction_energies	188.09
TIME	parts_206_to_206_interaction_energies	175.0
TIME	parts_432_to_432_interaction_energies	165.04
TIME	parts_188_to_188_interaction_energies	172.44
TIME	parts_334_to_334_interaction_energies	162.02
TIME	parts_219_to_219_interaction_energies	170.89
TIME	parts_517_to_517_interaction_energies	256.9
TIME	parts_393_to_393_interaction_energies	172.08
TIME	parts_392_to_392_interaction_energies	165.93
TIME	parts_155_to_155_interaction_energies	173.07
TIME	parts_241_to_241_interaction_energies	173.38
TIME	parts_534_to_534_interaction_energies	254.38
TIME	parts_356_to_356_interaction_energies	181.25
TIME	parts_355_to_355_interaction_energies	183.2
TIME	parts_409_to_409_interaction_energies	169.53
TIME	parts_266_to_266_interaction_energies	176.07
TIME	parts_413_to_413_interaction_energies	170.17
TIME	parts_193_to_193_interaction_energies	170.63
TIME	parts_192_to_192_interaction_energies	171.16
TIME	parts_417_to_417_interaction_energies	168.77
TIME	parts_304_to_304_interaction_energies	183.8
TIME	parts_384_to_384_interaction_energies	166.66
