START	bench_3etb	on 2017 May 15 at 10:32:43
TIME	interaction_energies_for_MAPs_part_KCDR3_70	95.47
TIME	interaction_energies_for_MAPs_part_KCDR3_73	95.05
TIME	interaction_energies_for_MAPs_part_KCDR3_53	97.72
TIME	interaction_energies_for_MAPs_part_KCDR3_68	95.22
TIME	interaction_energies_for_MAPs_part_KCDR3_55	97.4
TIME	interaction_energies_for_MAPs_part_KCDR3_52	97.48
TIME	interaction_energies_for_MAPs_part_KCDR3_71	95.59
TIME	interaction_energies_for_MAPs_part_KCDR3_69	95.5
TIME	interaction_energies_for_MAPs_part_KCDR3_78	94.68
TIME	interaction_energies_for_MAPs_part_KCDR3_4	95.94
TIME	interaction_energies_for_MAPs_part_KCDR3_50	96.46
TIME	interaction_energies_for_MAPs_part_KCDR3_51	96.39
TIME	interaction_energies_for_MAPs_part_KCDR3_45	96.09
TIME	interaction_energies_for_MAPs_part_KCDR3_48	96.58
TIME	interaction_energies_for_MAPs_part_KCDR3_46	96.43
TIME	interaction_energies_for_MAPs_part_KCDR3_47	96.67
TIME	interaction_energies_for_MAPs_part_KCDR3_49	96.32
TIME	interaction_energies_for_MAPs_part_KCDR3_44	96.64
TIME	interaction_energies_for_MAPs_part_KCDR3_42	99.13
TIME	interaction_energies_for_MAPs_part_KCDR3_40	99.06
TIME	interaction_energies_for_MAPs_part_KCDR3_41	99.12
TIME	interaction_energies_for_MAPs_part_KCDR3_43	99.52
TIME	interaction_energies_for_MAPs_part_KCDR3_3	91.92
TIME	interaction_energies_for_MAPs_part_KCDR3_38	97.21
TIME	interaction_energies_for_MAPs_part_KCDR3_37	96.94
TIME	interaction_energies_for_MAPs_part_KCDR3_36	97.2
TIME	interaction_energies_for_MAPs_part_KCDR3_39	97.16
TIME	interaction_energies_for_MAPs_part_HV_86	135.35
TIME	interaction_energies_for_MAPs_part_HV_85	135.36
TIME	interaction_energies_for_MAPs_part_HV_88	136.15
TIME	interaction_energies_for_MAPs_part_HV_87	136.97
TIME	interaction_energies_for_MAPs_part_HV_77	136.38
TIME	interaction_energies_for_MAPs_part_HV_82	135.34
TIME	interaction_energies_for_MAPs_part_HV_84	134.23
TIME	interaction_energies_for_MAPs_part_HV_81	134.72
TIME	interaction_energies_for_MAPs_part_HV_83	135.89
TIME	interaction_energies_for_MAPs_part_HV_80	135.35
TIME	interaction_energies_for_MAPs_part_HV_76	132.16
TIME	interaction_energies_for_MAPs_part_HV_75	131.33
