START	bench_2j4w	on 2017 May 12 at 23:33:01
TIME	interaction_energies_for_MAPs_part_HV_46	110.14
TIME	interaction_energies_for_MAPs_part_HV_47	112.23
TIME	interaction_energies_for_MAPs_part_HV_42	111.39
TIME	interaction_energies_for_MAPs_part_KCDR3_143	54.66
TIME	interaction_energies_for_MAPs_part_KCDR3_144	55.0
TIME	interaction_energies_for_MAPs_part_HV_51	111.2
TIME	interaction_energies_for_MAPs_part_HV_50	110.75
TIME	interaction_energies_for_MAPs_part_HV_40	115.89
TIME	interaction_energies_for_MAPs_part_KCDR3_54	55.24
TIME	interaction_energies_for_MAPs_part_KCDR3_53	56.47
TIME	interaction_energies_for_MAPs_part_KCDR3_50	56.63
TIME	interaction_energies_for_MAPs_part_KCDR3_52	56.21
TIME	interaction_energies_for_MAPs_part_KCDR3_51	56.02
TIME	interaction_energies_for_MAPs_part_KCDR3_49	55.22
TIME	interaction_energies_for_MAPs_part_KCDR3_48	55.25
TIME	interaction_energies_for_MAPs_part_KCDR3_47	57.54
TIME	interaction_energies_for_MAPs_part_KCDR3_4	56.57
TIME	interaction_energies_for_MAPs_part_LV_27	105.38
TIME	interaction_energies_for_MAPs_part_LV_28	105.49
TIME	interaction_energies_for_MAPs_part_HV_37	111.59
TIME	interaction_energies_for_MAPs_part_HV_35	110.97
TIME	interaction_energies_for_MAPs_part_HV_33	112.59
TIME	interaction_energies_for_MAPs_part_HV_34	112.07
TIME	interaction_energies_for_MAPs_part_HV_36	112.48
TIME	interaction_energies_for_MAPs_part_HV_32	115.14
TIME	interaction_energies_for_MAPs_part_KCDR3_45	57.08
TIME	interaction_energies_for_MAPs_part_KCDR3_46	57.32
TIME	interaction_energies_for_MAPs_part_HV_2	111.91
TIME	interaction_energies_for_MAPs_part_HV_29	115.67
TIME	interaction_energies_for_MAPs_part_HV_30	115.57
TIME	interaction_energies_for_MAPs_part_HV_79	110.37
TIME	interaction_energies_for_MAPs_part_HV_77	108.84
TIME	interaction_energies_for_MAPs_part_HV_78	109.02
TIME	interaction_energies_for_MAPs_part_KCDR3_107	55.46
TIME	interaction_energies_for_MAPs_part_KCDR3_108	56.95
TIME	interaction_energies_for_MAPs_part_KCDR3_106	55.77
TIME	interaction_energies_for_MAPs_part_HV_31	117.12
TIME	interaction_energies_for_MAPs_part_HV_74	112.37
TIME	interaction_energies_for_MAPs_part_HV_73	107.01
TIME	interaction_energies_for_MAPs_part_HV_72	110.33
TIME	interaction_energies_for_MAPs_part_HV_67	111.19
TIME	interaction_energies_for_MAPs_part_HV_68	111.44
TIME	interaction_energies_for_MAPs_part_HV_62	106.62
TIME	interaction_energies_for_MAPs_part_HV_63	107.04
TIME	interaction_energies_for_MAPs_part_HV_26	115.76
TIME	interaction_energies_for_MAPs_part_HV_64	110.22
TIME	interaction_energies_for_MAPs_part_HV_75	109.86
TIME	interaction_energies_for_MAPs_part_HV_76	111.65
TIME	interaction_energies_for_MAPs_part_HV_65	115.06
TIME	interaction_energies_for_MAPs_part_HV_25	118.13
TIME	interaction_energies_for_MAPs_part_HV_20	111.8
TIME	interaction_energies_for_MAPs_part_HV_24	115.14
TIME	interaction_energies_for_MAPs_part_HV_23	116.7
TIME	interaction_energies_for_MAPs_part_HV_1	118.08
TIME	interaction_energies_for_MAPs_part_HV_21	114.7
TIME	interaction_energies_for_MAPs_part_HV_19	114.52
TIME	interaction_energies_for_MAPs_part_HV_22	117.38
TIME	interaction_energies_for_MAPs_part_HV_140	112.36
TIME	interaction_energies_for_MAPs_part_HV_141	112.72
TIME	interaction_energies_for_MAPs_part_HV_12	109.28
TIME	interaction_energies_for_MAPs_part_HV_129	111.16
TIME	interaction_energies_for_MAPs_part_HV_128	114.13
TIME	interaction_energies_for_MAPs_part_HV_127	112.91
TIME	interaction_energies_for_MAPs_part_HV_130	114.26
TIME	interaction_energies_for_MAPs_part_HV_124	110.57
TIME	interaction_energies_for_MAPs_part_HV_123	111.43
TIME	interaction_energies_for_MAPs_part_HV_125	113.18
TIME	interaction_energies_for_MAPs_part_HV_11	106.24
TIME	interaction_energies_for_MAPs_part_HV_120	108.93
TIME	interaction_energies_for_MAPs_part_HV_3	110.25
TIME	interaction_energies_for_MAPs_part_HV_38	112.15
TIME	interaction_energies_for_MAPs_part_HV_121	112.35
TIME	interaction_energies_for_MAPs_part_HV_116	112.32
TIME	interaction_energies_for_MAPs_part_HV_118	112.71
TIME	interaction_energies_for_MAPs_part_HV_117	113.11
TIME	interaction_energies_for_MAPs_part_HV_119	112.95
TIME	interaction_energies_for_MAPs_part_HV_39	116.06
TIME	interaction_energies_for_MAPs_part_HV_131	112.34
TIME	interaction_energies_for_MAPs_part_HV_114	112.97
TIME	interaction_energies_for_MAPs_part_HV_10	114.42
TIME	interaction_energies_for_MAPs_part_HV_109	111.86
TIME	interaction_energies_for_MAPs_part_HV_113	112.94
TIME	interaction_energies_for_MAPs_part_HV_115	114.84
TIME	interaction_energies_for_MAPs_part_HV_105	112.74
TIME	interaction_energies_for_MAPs_part_HV_104	113.09
TIME	interaction_energies_for_MAPs_part_KCDR3_44	56.98
TIME	interaction_energies_for_MAPs_part_HV_41	111.18
TIME	interaction_energies_for_MAPs_part_HV_111	112.34
TIME	interaction_energies_for_MAPs_part_HV_112	112.3
TIME	interaction_energies_for_MAPs_part_HJ_4	54.9
TIME	interaction_energies_for_MAPs_part_HJ_5	54.96
TIME	interaction_energies_for_MAPs_part_HJ_2	56.66
TIME	interaction_energies_for_MAPs_part_HJ_3	55.97
TIME	interaction_energies_for_MAPs_part_HV_9	108.65
TIME	interaction_energies_for_MAPs_part_HV_99	109.79
TIME	interaction_energies_for_MAPs_part_HV_97	112.63
TIME	interaction_energies_for_MAPs_part_HV_98	114.76
TIME	interaction_energies_for_MAPs_part_HCDR3_1	53.55
TIME	interaction_energies_for_MAPs_part_HCDR3_203	57.9
TIME	interaction_energies_for_MAPs_part_HCDR3_19	56.07
TIME	interaction_energies_for_MAPs_part_HCDR3_194	59.1
TIME	interaction_energies_for_MAPs_part_HCDR3_204	58.36
TIME	interaction_energies_for_MAPs_part_HCDR3_199	58.13
TIME	interaction_energies_for_MAPs_part_HV_94	115.22
TIME	interaction_energies_for_MAPs_part_HV_28	114.07
TIME	interaction_energies_for_MAPs_part_HV_27	115.17
TIME	interaction_energies_for_MAPs_part_HV_90	110.6
TIME	interaction_energies_for_MAPs_part_HV_8	111.17
TIME	interaction_energies_for_MAPs_part_HV_91	113.06
TIME	interaction_energies_for_MAPs_part_HV_92	114.55
TIME	interaction_energies_for_MAPs_part_KCDR3_164	1142.86
TIME	interaction_energies_for_MAPs_part_HCDR3_174	57.04
TIME	interaction_energies_for_MAPs_part_HCDR3_175	57.03
TIME	interaction_energies_for_MAPs_part_HCDR3_208	59.05
TIME	interaction_energies_for_MAPs_part_HCDR3_75	56.8
TIME	interaction_energies_for_MAPs_part_HCDR3_81	55.08
TIME	interaction_energies_for_MAPs_part_HV_17	112.66
TIME	interaction_energies_for_MAPs_part_HCDR3_7	54.68
TIME	interaction_energies_for_MAPs_part_HCDR3_171	57.16
TIME	interaction_energies_for_MAPs_part_HV_18	111.39
TIME	interaction_energies_for_MAPs_part_HCDR3_166	58.66
TIME	interaction_energies_for_MAPs_part_HCDR3_168	59.08
TIME	interaction_energies_for_MAPs_part_HCDR3_169	59.23
TIME	interaction_energies_for_MAPs_part_HCDR3_167	59.3
TIME	interaction_energies_for_MAPs_part_HCDR3_62	55.38
TIME	interaction_energies_for_MAPs_part_HCDR3_83	58.39
TIME	interaction_energies_for_MAPs_part_HV_133	113.28
TIME	interaction_energies_for_MAPs_part_HV_134	112.62
TIME	interaction_energies_for_MAPs_part_HV_135	114.43
TIME	interaction_energies_for_MAPs_part_HV_89	108.99
TIME	interaction_energies_for_MAPs_part_HV_138	116.87
TIME	interaction_energies_for_MAPs_part_HCDR3_94	54.7
TIME	interaction_energies_for_MAPs_part_HV_137	114.15
TIME	interaction_energies_for_MAPs_part_HCDR3_96	57.67
TIME	interaction_energies_for_MAPs_part_HCDR3_93	57.65
TIME	interaction_energies_for_MAPs_part_HCDR3_95	59.1
TIME	interaction_energies_for_MAPs_part_HV_132	111.89
TIME	interaction_energies_for_MAPs_part_HCDR3_9	53.46
TIME	interaction_energies_for_MAPs_part_HCDR3_331	58.12
TIME	interaction_energies_for_MAPs_part_HCDR3_14	55.36
TIME	interaction_energies_for_MAPs_part_HV_126	113.16
TIME	interaction_energies_for_MAPs_part_HCDR3_149	59.84
TIME	interaction_energies_for_MAPs_part_HCDR3_13	55.65
TIME	interaction_energies_for_MAPs_part_HCDR3_337	59.58
TIME	interaction_energies_for_MAPs_part_HCDR3_339	59.71
TIME	interaction_energies_for_MAPs_part_HCDR3_138	58.4
TIME	interaction_energies_for_MAPs_part_HCDR3_338	61.09
TIME	interaction_energies_for_MAPs_part_HCDR3_336	61.66
TIME	interaction_energies_for_MAPs_part_HV_139	109.4
TIME	interaction_energies_for_MAPs_part_HCDR3_341	63.13
TIME	interaction_energies_for_MAPs_part_HV_13	113.35
TIME	interaction_energies_for_MAPs_part_HCDR3_133	57.26
TIME	interaction_energies_for_MAPs_part_HCDR3_132	56.71
TIME	interaction_energies_for_MAPs_part_HCDR3_131	58.35
TIME	interaction_energies_for_MAPs_part_HCDR3_130	63.03
TIME	interaction_energies_for_MAPs_part_HCDR3_348	62.99
TIME	interaction_energies_for_MAPs_part_HV_106	108.52
TIME	interaction_energies_for_MAPs_part_HCDR3_35	54.36
TIME	interaction_energies_for_MAPs_part_HV_108	111.93
TIME	interaction_energies_for_MAPs_part_HCDR3_121	56.42
TIME	interaction_energies_for_MAPs_part_HV_107	113.14
TIME	interaction_energies_for_MAPs_part_HCDR3_11	56.04
TIME	interaction_energies_for_MAPs_part_HCDR3_119	59.22
TIME	interaction_energies_for_MAPs_part_HCDR3_353	61.84
TIME	interaction_energies_for_MAPs_part_HV_101	112.25
TIME	interaction_energies_for_MAPs_part_HCDR3_36	56.95
TIME	interaction_energies_for_MAPs_part_HV_102	113.37
TIME	interaction_energies_for_MAPs_part_HCDR3_370	61.67
TIME	interaction_energies_for_MAPs_part_HCDR3_374	59.64
TIME	interaction_energies_for_MAPs_part_HV_100	113.24
TIME	interaction_energies_for_MAPs_part_HCDR3_369	62.09
TIME	interaction_energies_for_MAPs_part_HV_103	112.42
TIME	interaction_energies_for_MAPs_part_HCDR3_134	59.51
TIME	interaction_energies_for_MAPs_part_HCDR3_101	56.58
TIME	interaction_energies_for_MAPs_part_HCDR3_382	61.15
TIME	interaction_energies_for_MAPs_part_HCDR3_381	61.94
TIME	interaction_energies_for_MAPs_part_HCDR3_212	57.2
TIME	interaction_energies_for_MAPs_part_HCDR3_20	56.4
TIME	interaction_energies_for_MAPs_part_HCDR3_215	59.62
TIME	interaction_energies_for_MAPs_part_HV_122	112.13
TIME	interaction_energies_for_MAPs_part_HCDR3_328	60.06
TIME	interaction_energies_for_MAPs_part_HV_95	110.75
TIME	interaction_energies_for_MAPs_part_HV_96	112.61
TIME	interaction_energies_for_MAPs_part_HCDR3_209	59.56
TIME	interaction_energies_for_MAPs_part_HCDR3_192	59.14
TIME	interaction_energies_for_MAPs_part_HCDR3_188	58.82
TIME	interaction_energies_for_MAPs_part_HCDR3_189	58.99
TIME	interaction_energies_for_MAPs_part_HCDR3_187	58.72
TIME	interaction_energies_for_MAPs_part_HCDR3_193	60.53
TIME	interaction_energies_for_MAPs_part_HCDR3_18	55.66
TIME	interaction_energies_for_MAPs_part_HCDR3_394	63.4
TIME	interaction_energies_for_MAPs_part_HCDR3_181	57.27
