START	rep1_2r0w_01	on 2017 June 13 at 03:05:22
TIME	parts_362_to_362_interaction_energies	95.97
TIME	parts_335_to_335_interaction_energies	1420.48
TIME	parts_363_to_363_interaction_energies	87.1
TIME	parts_390_to_390_interaction_energies	76.18
TIME	parts_365_to_365_interaction_energies	93.89
TIME	parts_364_to_364_interaction_energies	95.97
TIME	parts_366_to_366_interaction_energies	102.18
TIME	parts_393_to_393_interaction_energies	76.52
TIME	parts_368_to_368_interaction_energies	73.89
TIME	parts_367_to_367_interaction_energies	76.6
TIME	parts_370_to_370_interaction_energies	77.38
TIME	parts_372_to_372_interaction_energies	75.4
TIME	parts_371_to_371_interaction_energies	74.17
TIME	parts_373_to_373_interaction_energies	73.98
TIME	parts_376_to_376_interaction_energies	74.16
TIME	parts_375_to_375_interaction_energies	74.11
TIME	parts_378_to_378_interaction_energies	75.15
TIME	parts_377_to_377_interaction_energies	76.21
TIME	parts_405_to_405_interaction_energies	75.95
TIME	parts_380_to_380_interaction_energies	73.49
TIME	parts_381_to_381_interaction_energies	76.62
TIME	parts_379_to_379_interaction_energies	79.37
TIME	parts_382_to_382_interaction_energies	77.58
TIME	parts_408_to_408_interaction_energies	75.6
TIME	parts_385_to_385_interaction_energies	69.89
TIME	parts_383_to_383_interaction_energies	73.02
TIME	parts_384_to_384_interaction_energies	73.73
TIME	parts_387_to_387_interaction_energies	76.57
TIME	parts_386_to_386_interaction_energies	76.21
TIME	parts_350_to_350_interaction_energies	1648.0
TIME	parts_412_to_412_interaction_energies	79.59
TIME	parts_392_to_392_interaction_energies	73.66
TIME	parts_388_to_388_interaction_energies	73.06
TIME	parts_391_to_391_interaction_energies	80.85
TIME	parts_389_to_389_interaction_energies	77.11
TIME	parts_396_to_396_interaction_energies	79.17
TIME	parts_395_to_395_interaction_energies	75.66
TIME	parts_397_to_397_interaction_energies	79.83
TIME	parts_358_to_358_interaction_energies	1637.17
TIME	parts_394_to_394_interaction_energies	79.58
TIME	parts_398_to_398_interaction_energies	80.01
TIME	parts_401_to_401_interaction_energies	76.41
TIME	parts_399_to_399_interaction_energies	77.52
TIME	parts_400_to_400_interaction_energies	85.35
TIME	parts_402_to_402_interaction_energies	89.69
TIME	parts_403_to_403_interaction_energies	78.11
TIME	parts_406_to_406_interaction_energies	89.81
TIME	parts_404_to_404_interaction_energies	78.95
TIME	parts_369_to_369_interaction_energies	1446.57
TIME	parts_407_to_407_interaction_energies	70.45
TIME	parts_409_to_409_interaction_energies	87.88
TIME	parts_410_to_410_interaction_energies	77.28
TIME	parts_413_to_413_interaction_energies	86.08
TIME	parts_416_to_416_interaction_energies	77.19
TIME	parts_415_to_415_interaction_energies	79.21
TIME	parts_414_to_414_interaction_energies	76.14
TIME	parts_419_to_419_interaction_energies	76.12
TIME	parts_417_to_417_interaction_energies	78.62
TIME	parts_418_to_418_interaction_energies	73.16
TIME	parts_420_to_420_interaction_energies	89.23
TIME	parts_421_to_421_interaction_energies	75.29
TIME	parts_423_to_423_interaction_energies	75.06
TIME	parts_422_to_422_interaction_energies	82.01
TIME	parts_424_to_424_interaction_energies	79.3
TIME	parts_425_to_425_interaction_energies	79.01
TIME	parts_426_to_426_interaction_energies	77.08
TIME	parts_429_to_429_interaction_energies	76.77
TIME	parts_432_to_432_interaction_energies	74.94
TIME	parts_430_to_430_interaction_energies	77.9
TIME	parts_431_to_431_interaction_energies	76.33
TIME	parts_433_to_433_interaction_energies	76.22
TIME	parts_434_to_434_interaction_energies	180.44
TIME	parts_439_to_439_interaction_energies	181.64
TIME	parts_438_to_438_interaction_energies	181.8
TIME	parts_435_to_435_interaction_energies	187.59
TIME	parts_436_to_436_interaction_energies	198.19
TIME	parts_437_to_437_interaction_energies	190.63
TIME	parts_442_to_442_interaction_energies	183.53
TIME	parts_443_to_443_interaction_energies	181.04
TIME	parts_440_to_440_interaction_energies	187.43
TIME	parts_446_to_446_interaction_energies	182.75
TIME	parts_451_to_451_interaction_energies	188.52
TIME	parts_449_to_449_interaction_energies	197.44
TIME	parts_450_to_450_interaction_energies	196.95
TIME	parts_447_to_447_interaction_energies	198.02
TIME	parts_448_to_448_interaction_energies	188.68
TIME	parts_411_to_411_interaction_energies	1490.82
TIME	parts_453_to_453_interaction_energies	181.94
TIME	parts_454_to_454_interaction_energies	183.53
TIME	parts_452_to_452_interaction_energies	185.02
TIME	parts_445_to_445_interaction_energies	179.16
TIME	parts_455_to_455_interaction_energies	181.08
TIME	parts_444_to_444_interaction_energies	194.89
TIME	parts_457_to_457_interaction_energies	189.84
TIME	parts_458_to_458_interaction_energies	193.54
TIME	parts_456_to_456_interaction_energies	195.8
TIME	parts_427_to_427_interaction_energies	1488.65
TIME	parts_428_to_428_interaction_energies	1484.69
TIME	parts_459_to_459_interaction_energies	182.91
TIME	parts_462_to_462_interaction_energies	187.38
TIME	parts_460_to_460_interaction_energies	194.9
TIME	parts_461_to_461_interaction_energies	191.5
TIME	parts_463_to_463_interaction_energies	182.95
TIME	parts_464_to_464_interaction_energies	195.28
TIME	parts_465_to_465_interaction_energies	192.16
TIME	parts_466_to_466_interaction_energies	190.42
TIME	parts_467_to_467_interaction_energies	195.72
TIME	parts_468_to_468_interaction_energies	187.81
TIME	parts_469_to_469_interaction_energies	197.78
TIME	parts_471_to_471_interaction_energies	184.18
TIME	parts_473_to_473_interaction_energies	190.03
TIME	parts_474_to_474_interaction_energies	192.46
TIME	parts_477_to_477_interaction_energies	190.69
TIME	parts_476_to_476_interaction_energies	196.59
TIME	parts_475_to_475_interaction_energies	194.52
TIME	parts_478_to_478_interaction_energies	179.53
TIME	parts_479_to_479_interaction_energies	189.26
